case,es_type,paper,study_ID,sei,mu_self_inclusive,mu_leave_one_out,power_self,power_loo,type_M_self,type_M_loo,type_S_self,type_S_loo
MA09.csv,lnRR,MA09,CD001,0.27894200472499653,0.21944703048501393,0.22060574194364188,0.12335751991990473,0.12415429841779979,3.121,3.102,0.02440166301759795,0.023939763225378326
MA09.csv,lnRR,MA09,CD001,0.35438543423792124,0.21944703048501393,0.22060574194364188,0.09495536803509763,0.0954408353797136,3.88,3.883,0.05214576122693052,0.05139149873276169
MA09.csv,lnRR,MA09,CD003,0.5726930399437381,0.21944703048501393,0.2246026308833325,0.06698401230495521,0.06779917091954091,6.18,6.059,0.14273388963895148,0.13765071463143091
MA09.csv,lnRR,MA09,CD003,0.5697292558751043,0.21944703048501393,0.2246026308833325,0.0671628209559667,0.06798663350087608,6.156,5.951,0.14159506523757326,0.1365200189931565
MA09.csv,lnRR,MA09,CD003,0.5448120675976258,0.21944703048501393,0.2246026308833325,0.06878482164058142,0.06968719333800333,5.926,5.744,0.13185693309536642,0.12686339769753038
MA09.csv,lnRR,MA09,CD004,0.1954533038861201,0.21944703048501393,0.22013135164584458,0.20226436379850743,0.20323764823673096,2.237,2.248,0.005070486179144606,0.004987158158732924
MA09.csv,lnRR,MA09,CD004,0.10308940294715067,0.21944703048501393,0.22013135164584458,0.5670219077445546,0.5696306109054837,1.326,1.321,3.8257213834779e-5,3.7007078667884645e-5
MA09.csv,lnRR,MA09,CD006,0.09105615849573273,0.21944703048501393,0.22234037031214166,0.6736706623118873,0.6850419727777828,1.226,1.216,9.222345953984898e-6,7.837282750643116e-6
MA09.csv,lnRR,MA09,CD006,0.08935629804328288,0.21944703048501393,0.22234037031214166,0.6900230073661743,0.7013522093236007,1.206,1.193,7.291313546568581e-6,6.173020005618569e-6
MA09.csv,lnRR,MA09,CD006,0.10062664657037916,0.21944703048501393,0.22234037031214166,0.5874089484721742,0.598564438443148,1.301,1.294,2.9463663304252343e-5,2.5497649612564458e-5
MA09.csv,lnRR,MA09,CD006,0.13888888724444443,0.21944703048501393,0.22234037031214166,0.3521930693937473,0.3599400194255238,1.665,1.647,5.680880940897388e-4,5.135660759166976e-4
MA09.csv,lnRR,MA09,CD006,0.13850705758191528,0.21944703048501393,0.22234037031214166,0.35380780197624695,0.3615888892671192,1.663,1.647,5.562339067028227e-4,5.026983367981203e-4
MA09.csv,lnRR,MA09,CD006,0.2000461196824372,0.21944703048501393,0.22234037031214166,0.1951917604608019,0.19913990987697228,2.284,2.267,0.005727814120381105,0.005349272045840472
