case,es_type,uses_ess,paper,beta0,se_beta0,pval_beta0,ci_lb,ci_ub,ddf,k,n_study_id,beta1,pval_beta1,beta2,pval_beta2,beta0_x_beta1,beta0_x_beta2,has_small_study_effect,has_decline_effect,scenario,spec,composite_moderator_used,beta0_c,se_beta0_c,beta0_c2,se_beta0_c2,ci_lb_c2,ci_ub_c2,gate_selects_c2,beta0_c3,shrinkage,mu_optimistic,ci_includes_zero
MA09.csv,lnRR,FALSE,MA09,0.21944703048501393,0.03842099506762128,1.3861605833943208e-8,0.14407287134438088,0.29482118962564696,1296,1297,126,0.3786037625016795,4.150615151753966e-4,-0.012189765947005195,0.005892050572376294,0.08308347141144704,-0.002675007939377634,TRUE,TRUE,1,legacy (S2_v2.R as written),TRUE,0.10514577947140856,0.058785810426150185,0.10599043651077165,0.05918078539752184,-0.01011028260458699,0.2220911556261303,TRUE,0.10599043651077165,0.11345659397424228,0.29482118962564696,FALSE
MA20_cleaned.csv,lnRR,FALSE,MA20,0.15618598357445485,0.11813302494430482,0.1968279251774988,-0.08579854840333498,0.3981705155522447,28,29,8,0.33559206384951046,0.5428487341502919,0.0650645808696312,0.13999002099219973,0.052414776572117044,0.010162175558983006,FALSE,FALSE,3,legacy (S2_v2.R as written),FALSE,-0.06717152624620831,0.1542221896870698,0.06088865856102059,0.11641796060866239,-0.17798126568223266,0.29975858280427387,TRUE,0.06088865856102059,0.09529732501343426,0.3981705155522447,TRUE
MA22_01.csv,lnRR,FALSE,MA22,-0.05465569682344966,0.03890615105670374,0.16348256005645947,-0.13193798644884575,0.022626592801946413,91,92,30,-0.3068076656714535,0.39148454670209965,-0.002425891166599856,0.8003449437273809,0.016768786758049267,1.3258877212836634e-4,FALSE,FALSE,3,legacy (S2_v2.R as written),FALSE,-0.019549204412859403,0.05467212910371101,-0.06684511192238451,0.04260822179726194,-0.15149378139166417,0.017803557546895138,FALSE,-0.05465569682344966,0,-0.13193798644884575,TRUE
MA22_02.csv,lnRR,FALSE,MA22,0.03452585079677678,0.02810151050298772,0.22238524750512817,-0.021294347671012875,0.09034604926456644,91,92,30,-0.17740438625073549,0.5785587429675432,0.005386955082620124,0.4691046712357466,-0.006125037370386652,1.8598920743148072e-4,FALSE,FALSE,4,legacy (S2_v2.R as written),FALSE,0.03452585079677678,0.02810151050298772,0.03452585079677678,0.02810151050298772,-0.021294347671012875,0.09034604926456644,FALSE,0.03452585079677678,0,0.09034604926456644,TRUE
MA22_03.csv,lnRR,FALSE,MA22,-0.04580320918496699,0.037297913843469976,0.22260004343096326,-0.11989093315110966,0.028284514781175683,91,92,30,-0.16589696452286837,0.4943467410199863,-0.006557116403465466,0.49550119227017564,0.0075986133691919875,3.0033697427810714e-4,FALSE,FALSE,3,legacy (S2_v2.R as written),FALSE,-0.011983305919066095,0.0558749523715959,-0.05005390435084059,0.038280831881520636,-0.12610545844681875,0.025997649745137588,FALSE,-0.04580320918496699,0,-0.11989093315110966,TRUE
MA01_01.csv,SMD,FALSE,MA01,-1.4714367914931457,0.15846194405574549,6.977403834964484e-9,-1.800976444213937,-1.1418971387723542,21,22,20,-5.959789354465375,5.633688440724711e-4,-0.05164098297607398,0.1108810824036978,8.769453325709538,0.07598644229986645,TRUE,FALSE,3,legacy (S2_v2.R as written),FALSE,1.9687271860697881,0.8079502884275535,0.2301128661826245,0.40604766493164524,-0.616887720712445,1.077113453077694,TRUE,0.2301128661826245,1.241323925310521,-1.800976444213937,FALSE
MA01_02.csv,SMD,FALSE,MA01,-1.3847886157232574,0.17169224753427653,2.0448740495049395e-6,-1.7557071658539596,-1.0138700655925552,13,14,13,-5.382761880546115,0.03198339478361999,-0.08780193292162888,0.040822146649152846,7.453987373329372,0.12158711714836876,TRUE,FALSE,3,legacy (S2_v2.R as written),FALSE,1.4276876998695969,1.1566122623094195,-0.029132123115403263,0.5841939857347,-1.301981474248602,1.2437172280177953,TRUE,-0.029132123115403263,1.355656492607854,-1.7557071658539596,FALSE
MA01_03.csv,SMD,FALSE,MA01,1.6984009801615376,0.21964781161101243,1.3059442600343585e-6,1.230232751920046,2.166569208403029,15,16,11,8.217860447826133,8.51474774522491e-4,0.0132754933154403,0.7637914206867815,13.957222239418638,0.022547110859071746,TRUE,FALSE,3,legacy (S2_v2.R as written),FALSE,-2.4138877482879066,0.8873102235754989,-0.24307311977363452,0.41001084706896124,-1.122458926469045,0.636312686921776,TRUE,-0.24307311977363452,1.4553278603879032,2.166569208403029,FALSE
MA05_01.csv,SMD,FALSE,MA05,0.28420900014765826,0.3159402157937035,0.3816909543950162,-0.3855543375505207,0.9539723378458372,16,17,9,-2.7386023031337983,0.6523621534816146,-0.001267467216337814,0.9916115974393565,-0.778335422375731,-3.602255902753058e-4,FALSE,FALSE,2,legacy (S2_v2.R as written),FALSE,0.5254233844891688,0.505884655083452,0.5254233844891688,0.505884655083452,-0.5528442336941187,1.6036910026724565,FALSE,0.28420900014765826,0,0.9539723378458372,TRUE
MA05_02.csv,SMD,FALSE,MA05,-1.043924298168363,0.4274793872119504,0.02746705271624387,-1.955075043777446,-0.13277355255928003,15,16,10,-8.76666501839685,7.357337356518486e-5,0.009023300138126356,0.5774107405198659,9.15173462660707,-0.009419642263856049,TRUE,FALSE,1,legacy (S2_v2.R as written),FALSE,3.827317977012132,0.8294213047178478,1.1956924981016641,0.38524444501138333,0.3634224740226677,2.0279625221806605,FALSE,-1.043924298168363,0,-1.955075043777446,FALSE
MA05_03.csv,SMD,FALSE,MA05,1.5418440896305954,0.6747686060824811,0.10644479275952133,-0.6055707677180353,3.6892589469792263,3,4,4,18.207173104859976,0.49910614591492514,0.12996983377370466,0.6630360633971011,28.07262224060949,0.20039322003425747,FALSE,FALSE,3,legacy (S2_v2.R as written),FALSE,-9.799951057189302,9.120139262840977,-4.170442030170288,4.469555841602233,-23.401388672807798,15.06050461246722,FALSE,1.5418440896305954,0,3.6892589469792263,TRUE
MA06_01.csv,SMD,FALSE,MA06,0.4768783513958681,0.3274709092381255,0.15506690268550266,-0.19015806264446644,1.1439147654362025,32,33,9,1.5226523369589218,0.5740600319005073,-0.08545193193637704,0.7003859227409992,0.7261199361980365,-0.040750176425411413,FALSE,FALSE,1,legacy (S2_v2.R as written),FALSE,-0.41921355180281944,1.2443711325989557,-0.21643106922967614,0.7970928021787914,-1.8443117442353936,1.411449605776041,TRUE,-0.21643106922967614,0.26044728216619195,1.1439147654362025,TRUE
MA06_02.csv,SMD,FALSE,MA06,0.8227067818908614,0.2609280870176003,0.008328372198643396,0.2541933182763868,1.3912202455053362,12,13,6,2.6910975534111685,0.1894308847506334,-0.21609824498343067,0.5512692571910733,2.213984207921273,-0.17778549170258123,FALSE,FALSE,1,legacy (S2_v2.R as written),FALSE,-0.5610487028611961,0.8409705054866908,-0.07400659041018796,0.47831135096686056,-1.1397506948454925,0.9917375140251167,TRUE,-0.07400659041018796,0.7487001914806735,1.3912202455053362,FALSE
MA08.csv,SMD,FALSE,MA08,0.3359196369889882,0.044021597346625585,1.0913598794895865e-13,0.2494414086183071,0.4223978653596693,530,531,176,1.9056896015950393,6.378527394395418e-9,0.0015368026973673686,0.6925849939247979,0.6401585591814951,5.162422042233444e-4,TRUE,FALSE,3,legacy (S2_v2.R as written),FALSE,-0.49895079812480775,0.14819991702789556,-0.121409316140895,0.08130217282632993,-0.2811240632664531,0.038305430984663144,TRUE,-0.121409316140895,0.21451032084809318,0.4223978653596693,FALSE
MA10.csv,SMD,FALSE,MA10,0.48156202247916413,0.17093178929323732,0.008354597943744779,0.132944339799009,0.8301797051593193,31,32,32,2.1575031435483147,0.09774772775684439,-0.00656469980794298,0.7131288745847043,1.0389715773122807,-0.0031613101164816018,FALSE,FALSE,1,legacy (S2_v2.R as written),FALSE,-0.5338244186047466,0.6319998689880875,-0.10170890059521101,0.3813945287759163,-0.8817482961949494,0.6783304950045275,TRUE,-0.10170890059521101,0.37985312188395315,0.8301797051593193,FALSE
MA12.csv,SMD,FALSE,MA12,0.44106767832673593,0.11559108233824683,2.9266100511466466e-4,0.21046977858876717,0.6716655780647047,69,70,16,5.350835194614009,1.64041824458902e-4,0.02356128183260504,0.5391528579451974,2.360080456397389,0.010392119876309008,TRUE,FALSE,3,legacy (S2_v2.R as written),FALSE,-2.0305124068603297,0.5948137675210958,-0.7555042724162083,0.2847731420397317,-1.323760229862151,-0.18724831497026573,FALSE,0.44106767832673593,0,0.6716655780647047,FALSE
MA13_01.csv,SMD,FALSE,MA13,-1.384663257257386,0.47510100393490606,0.005690757045858903,-2.3434559002890936,-0.4258706142256784,42,43,24,-5.103700837494551,2.5568793155029803e-9,0.010857946346873296,0.6570920039324452,7.066907025712454,-0.015034599355787513,TRUE,FALSE,1,legacy (S2_v2.R as written),FALSE,1.7971823352638725,0.6098596410978826,-0.5168501599308614,0.5752966600741919,-1.6795680817322043,0.6458677618704814,TRUE,-0.5168501599308614,0.8678130973265247,-2.3434559002890936,FALSE
MA13_02.csv,SMD,FALSE,MA13,-0.379111087425584,0.2538934343668182,0.14410082038451139,-0.8940308385532518,0.13580866370208383,36,37,20,-1.5914888491342716,0.2884366972012021,0.05888976832171863,0.2216315059977036,0.6033510682209849,-0.022325764106687462,FALSE,FALSE,1,legacy (S2_v2.R as written),FALSE,0.7824896724245397,0.8612248999835549,0.3714883561877102,0.593288891828895,-0.8342197366707558,1.5771964490461763,TRUE,0.3714883561877102,0.0076227312378738254,-0.8940308385532518,TRUE
MA13_03.csv,SMD,FALSE,MA13,1.0976514123708025,0.313139329336432,0.003874373883603826,0.421155020166595,1.77414780457501,13,14,9,5.119746810731545,0.019666998936073272,0.005072525191770138,0.9155521022483815,5.619697317780393,0.005567864441032968,TRUE,FALSE,3,legacy (S2_v2.R as written),FALSE,-1.7327000405231325,1.0213332388880514,-0.029895716331059006,0.4934682983062198,-1.1050707757147058,1.045279343052588,TRUE,-0.029895716331059006,1.0677556960397436,1.77414780457501,FALSE
MA15_01.csv,SMD,FALSE,MA15,-0.5790574364484041,0.3385515056999909,0.16236526340891952,-1.519027107306487,0.3609122344096787,4,5,3,-7.365361493048552,0.5040073925415323,-0.07971826531530217,0.8494671488970181,4.2649673446804846,0.04616145435159261,FALSE,FALSE,3,legacy (S2_v2.R as written),FALSE,0.011450314728050788,2.770362939546534,0.10584858895219851,1.5586090165933217,-4.854340917287093,5.066038095191491,TRUE,0.10584858895219851,0.4732088474962056,-1.519027107306487,TRUE
MA15_02.csv,SMD,FALSE,MA15,-1.1925594205990069,0.1499454447888904,4.5547280468112354e-5,-1.538334236337216,-0.8467846048607977,8,9,4,-8.499801398897281,0.15093771716429505,-0.11989551438553418,0.3907028628657835,10.13651823147557,0.14298252516803253,FALSE,FALSE,3,legacy (S2_v2.R as written),FALSE,-1.4500669588713715,1.4825772082902469,0.23147502248453422,1.0560867698377812,-2.265773365260171,2.7287234102292395,TRUE,0.23147502248453422,0.9610843981144727,-1.538334236337216,FALSE
MA15_03.csv,SMD,FALSE,MA15,-0.9161862177754302,0.17390106443802117,3.6362796348171937e-4,-1.3036619358515538,-0.5287104996993066,10,11,5,-3.3345685118360993,0.5135220681255369,-0.10461568223595137,0.07689342506206476,3.0550857127721605,0.09584744622775254,FALSE,FALSE,3,legacy (S2_v2.R as written),FALSE,-1.8505752301871,1.994406657036095,-1.309453648959127,1.05379002733961,-3.6932923073907418,1.0743850094724878,FALSE,-0.9161862177754302,0,-1.3036619358515538,FALSE
MA15_04.csv,SMD,FALSE,MA15,-0.12124755262038935,0.6552343227724959,0.8568932198821386,-1.5812006043447024,1.3387054991039238,10,11,5,-8.89694219977828,0.005976640179124088,-0.08827034362626601,0.16850632608556934,1.0787324675281795,0.010702563133645537,TRUE,FALSE,3,legacy (S2_v2.R as written),FALSE,3.773693063665803,1.0409494270024493,1.8279633486149174,0.4282945369078834,0.8590937941614089,2.796832903068426,FALSE,-0.12124755262038935,0,-1.5812006043447024,TRUE
MA21.csv,SMD,FALSE,MA21,-0.2275942098163718,0.29999162847927996,0.4655562866097298,-0.8960172125016875,0.44082879286894394,10,11,6,2.9562086569264725,0.3715522786736709,-0.14435793110873218,0.1307848668229024,-0.6728159733254983,0.03285502926141814,FALSE,FALSE,4,legacy (S2_v2.R as written),FALSE,-0.2275942098163718,0.29999162847927996,-0.2275942098163718,0.29999162847927996,-0.8960172125016875,0.44082879286894394,FALSE,-0.2275942098163718,0,-0.8960172125016875,TRUE
MA23.csv,SMD,FALSE,MA23,-0.941060831414486,0.3036103430977167,0.005052760192666889,-1.569126678265516,-0.312994984563456,23,24,22,-5.624798915817506,1.6061425274215007e-6,-0.04573724307649896,0.28842036884221844,5.293277944258522,0.043041527996176554,TRUE,FALSE,3,legacy (S2_v2.R as written),FALSE,1.7798983587866066,0.405109499620838,0.18617969575533128,0.16761469502734413,-0.1614319060468246,0.5337912975574872,TRUE,0.18617969575533128,0.7548811356591547,-1.569126678265516,FALSE
MA24.csv,SMD,FALSE,MA24,0.40570264732023553,0.07514051802349016,2.8430225609470374e-7,0.2571270348825966,0.5542782597578745,138,139,54,1.0008298754538696,0.04345416235775215,-0.0031383454583963936,0.704008495142038,0.40603932998881653,-0.001273235060676855,TRUE,FALSE,1,legacy (S2_v2.R as written),FALSE,-0.036248543238119824,0.21947653400037992,0.17687127092279167,0.14578947676997844,-0.11143627997256642,0.46517882181814973,TRUE,0.17687127092279167,0.22883137639744386,0.5542782597578745,FALSE
MA25.csv,SMD,FALSE,MA25,0.6633060148621823,0.1414042911143753,2.88574835255341e-5,0.3779406022642488,0.9486714274601158,42,43,22,3.162787419222873,0.016708909028500717,-0.004527325514784603,0.8403163035371995,2.0978959189009703,-0.0030030022451956536,TRUE,FALSE,1,legacy (S2_v2.R as written),FALSE,-0.761170828299214,0.6140260099278353,-0.16554493208247015,0.3723544762820647,-0.918101400566532,0.5870115364015918,TRUE,-0.16554493208247015,0.4977610827797122,0.9486714274601158,FALSE
MA26.csv,SMD,FALSE,MA26,0.22589965288436858,0.05823647930865843,1.2025417581149358e-4,0.11145582219223606,0.3403434835765011,458,459,71,1.148566320066565,4.1552093572764506e-4,-1.0985919367023535e-4,0.9959636954746092,0.2594607330177136,-2.4817153716262788e-5,TRUE,FALSE,1,legacy (S2_v2.R as written),FALSE,-0.27824208433771425,0.18680541383771662,-0.0017570516382645024,0.13248570740740892,-0.26211530545694317,0.25860120218041416,TRUE,-0.0017570516382645024,0.22414260124610408,0.3403434835765011,FALSE
MA28_01.csv,SMD,FALSE,MA28,-0.7030139163060111,0.08151513644934394,3.687576197291061e-13,-0.8651442441792466,-0.5408835884327755,83,84,42,-3.7668664869831843,1.8832871426641116e-4,0.004256307729183099,0.8577290535254447,2.6481595612159143,-0.0029922435656965555,TRUE,FALSE,1,legacy (S2_v2.R as written),FALSE,0.9637004137445521,0.4457836667085153,0.18056401554316504,0.24734115805972948,-0.31156730387627085,0.6726953349626009,TRUE,0.18056401554316504,0.522449900762846,-0.8651442441792466,FALSE
MA28_02.csv,SMD,FALSE,MA28,-0.7054960206833235,0.08369249085694046,9.039218046172442e-13,-0.8719570189004556,-0.5390350224661914,83,84,41,-3.658970574984826,2.5097103036284327e-4,0.009485892744090424,0.6931344599961793,2.581389180449167,-0.006692259583584606,TRUE,FALSE,1,legacy (S2_v2.R as written),FALSE,0.9379371653022254,0.4442873341206969,0.15484791475285717,0.2436728335146741,-0.3299845894892808,0.6396804189949951,TRUE,0.15484791475285717,0.5506481059304663,-0.8719570189004556,FALSE
MA31.csv,SMD,FALSE,MA31,0.3279277286373822,0.04600530787934395,2.4422469255873676e-12,0.2376098491685717,0.41824560810619266,733,734,212,1.5316070755016942,1.6772562351877234e-6,0.020016891757921543,0.04255641525849285,0.5022564294342141,0.006564093848555548,TRUE,FALSE,3,legacy (S2_v2.R as written),FALSE,-0.38234465452514493,0.15705517842776534,0.32445799014650084,0.0686166573127309,0.18974907779162398,0.4591669025013777,TRUE,0.32445799014650084,0.0034697384908813356,0.41824560810619266,FALSE
MA32.csv,SMD,FALSE,MA32,1.2905504034916613,0.28544754390376886,7.004050912201417e-4,0.6686136326371301,1.9124871743461924,12,13,7,36.28457683839186,8.449892426092617e-4,-0.05429954488630531,0.08357379242399936,46.8270752793108,-0.0700762995624349,TRUE,FALSE,1,legacy (S2_v2.R as written),FALSE,-13.881926216400217,3.25895025609587,-6.771002703580544,1.6426025069717258,-10.430949167734301,-3.111056239426787,FALSE,1.2905504034916613,0,1.9124871743461924,FALSE
MA14_01.csv,SMD,TRUE,MA14,-0.2735896277052463,0.06417018668242591,4.47067420499284e-5,-0.40085605811592084,-0.1463231972945718,103,104,20,0.391271794346253,0.7580700093083598,0.013869377118826567,0.659508157387208,-0.10704790454675504,-0.003794517722443422,FALSE,FALSE,2,legacy (S2_v2.R as written),FALSE,-0.2513902545652648,0.09676146302362292,-0.2513902545652648,0.09676146302362292,-0.4433161576842283,-0.05946435144630138,TRUE,-0.2513902545652648,0.022199373139981493,-0.40085605811592084,FALSE
MA14_02.csv,SMD,TRUE,MA14,-0.23607219737444507,0.04459940983192463,3.7620095789536674e-7,-0.32412738843067157,-0.14801700631821857,166,167,17,0.8870082609072255,0.3456303597794832,0.010485923630931001,0.6640740650378021,-0.20939798924165381,-0.002475435033054501,FALSE,FALSE,2,legacy (S2_v2.R as written),FALSE,-0.2570426403510175,0.06330352665919836,-0.2570426403510175,0.06330352665919836,-0.38203201193270814,-0.13205326876932683,FALSE,-0.23607219737444507,0,-0.32412738843067157,FALSE
MA18.csv,SMD,TRUE,MA18,1.1628671993528081,0.16735016199267433,5.631169742819798e-7,0.8158042054868249,1.5099301932187914,22,23,23,2.5230218095419943,0.2522786766121095,-0.014443005238273639,0.7274617054202756,2.933939305568153,-0.016795297051669204,FALSE,FALSE,1,legacy (S2_v2.R as written),FALSE,-0.10426664604229756,1.0621048966205373,0.5382261059102695,0.6225385723465219,-0.7603666005176513,1.8368188123381903,TRUE,0.5382261059102695,0.6246410934425386,1.5099301932187914,FALSE
MA39_1.csv,SMD,TRUE,MA39,-0.11816493551417973,0.11829107731418058,0.3244942720259395,-0.358070359784584,0.12174048875622459,36,37,21,0.8176140052042383,0.6330167778381148,0.01692133703976623,0.5399595030176136,-0.09661330620044903,-0.0019995087001176775,FALSE,FALSE,2,legacy (S2_v2.R as written),FALSE,6.49213943645363e-5,0.22686961600090164,6.49213943645363e-5,0.22686961600090164,-0.46050488472817674,0.4606347275169058,TRUE,6.49213943645363e-5,0.11810001411981519,-0.358070359784584,TRUE
MA39_2.csv,SMD,TRUE,MA39,0.052008863240549645,0.2519697603594166,0.8394430108872097,-0.48841252453616624,0.5924302510172655,14,15,11,3.44758839355407,0.45625172150380566,0.08416579685483265,0.24454187827005305,0.17930515327005986,0.0043773674181548745,FALSE,FALSE,3,legacy (S2_v2.R as written),FALSE,-0.581464963736083,1.8944136984498632,-0.2216528591861602,1.0387248689542936,-2.4656815087634376,2.0223757903911173,FALSE,0.052008863240549645,0,0.5924302510172655,TRUE
MA17.csv,Zr,FALSE,MA17,0.07359859190408709,0.04475894647980437,0.10493596021709088,-0.015791196850419062,0.16298838065859322,65,66,22,0.4903477417507954,0.37415432186954634,-0.026886912118386862,0.06127224813233238,0.03608890333620748,-0.0019788388725622084,FALSE,FALSE,1,legacy (S2_v2.R as written),FALSE,-0.11741411116013852,0.14744140967503833,-0.05101777113436367,0.08973414508252797,-0.23033715130121754,0.1283016090324902,TRUE,-0.05101777113436367,0.02258082076972342,0.16298838065859322,TRUE
