level,metric,scenario_label,legacy,revised,abs_change,pct_change
meta-analysis,power,uncorrected,0.8220737046105893,0.8220737046105893,0,0
meta-analysis,type_M,uncorrected,1.1073891194722347,1.108706281623009,0.0013171621507743758,0.11894302802994972
meta-analysis,type_S,uncorrected,5.830502574538377e-4,5.830502574538377e-4,0,0
primary-study,power,uncorrected,0.17153779868105995,0.17153779868105995,0,0
primary-study,type_M,uncorrected,2.8573243420232837,2.857551324615444,2.2698259216014094e-4,0.007943886132277811
primary-study,type_S,uncorrected,0.026914000083800918,0.026914000083800918,0,0
meta-analysis,power,corrected,0.4485916802496061,0.3903771039959561,-0.05821457625365001,-12.977185894588628
meta-analysis,type_M,corrected,2.040069760233838,2.1798724903359523,0.1398027301021143,6.8528406639432715
meta-analysis,type_S,corrected,0.012151316603602004,0.012225245985474795,7.392938187279069e-5,0.6084063503939641
primary-study,power,corrected,0.09056615234201149,0.08774295651913867,-0.002823195822872812,-3.11727477635505
primary-study,type_M,corrected,7.790536756992956,8.123781913774943,0.3332451567819872,4.277563500138282
primary-study,type_S,corrected,0.09853905845174973,0.10431253331335777,0.005773474861608036,5.859072485896588
