spec,level,metric,scenario_label,n_units,model_median,ci_lower_raw,ci_upper,ci_lower_floored,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,min,q1,median_raw,q3,max,n_at_bound,grouping
legacy (S2_v2.R as written),meta-analysis,power,uncorrected,48,0.8220737046105893,0.7171736480520882,0.9423173559816781,0.7171736480520882,1.1371850969144004,0.710038425457268,0.8857097503950125,0.0539316785204883,0.3623751639861593,0.9129258088815501,0.9998999782868563,1,16,NA
legacy (S2_v2.R as written),meta-analysis,type_M,uncorrected,48,1.1073891194722347,1.0237584733648963,1.1978515380633141,1.0237584733648963,1.2951953243332128,1.7893541666666666,1.1749871080139374,0.998,1.001,1.0495,1.6465,12.689,44,NA
legacy (S2_v2.R as written),meta-analysis,type_S,uncorrected,48,5.830502574538377e-4,-7.099687873945333e-4,0.001944899936388543,0,0.004250358270253073,0.013462737114737378,0.001625697414195957,7.970070141940813e-93,1.1008920415043813e-14,7.223375990578843e-8,5.279446924038867e-4,0.2962281539428636,0,NA
legacy (S2_v2.R as written),primary-study,power,uncorrected,5740,0.17153779868105995,0.16427594060972675,0.1791206689618041,0.16427594060972675,0.23104841916222174,0.22664490670695409,NA,0.05000645922206981,0.09185026465630813,0.13577740746176875,0.26135497577915895,1,69,study
legacy (S2_v2.R as written),primary-study,type_M,uncorrected,5740,2.8573243420232837,2.764680035377755,2.9530731553184064,2.764680035377755,3.4824221185634503,3.8554444250871076,NA,0.995,1.941,2.9025,4.039,313.248,5728,study
legacy (S2_v2.R as written),primary-study,type_S,uncorrected,5740,0.026914000083800918,0.024972145604911566,0.028931312575780105,0.024972145604911566,0.043794157427432485,0.049893905409411514,NA,0,0.0019919124967934733,0.018302348059628173,0.057336105038322434,0.49122343371856075,0,study
legacy (S2_v2.R as written),meta-analysis,power,corrected,48,0.4485916802496061,0.3358946883025405,0.59909996375981045,0.3358946883025405,0.8063590103660583,0.4136217764413183,0.6154867582567266,0.05000003450386037,0.09341367445794788,0.2613870909145822,0.7107390143110129,1,4,NA
legacy (S2_v2.R as written),meta-analysis,type_M,corrected,48,2.040069760233838,1.376004993216051,3.0246144796998404,1.376004993216051,5.858983326090835,93.88302083333336,35.27730139372822,0.996,1.193,1.9545000000000001,3.968,4260.854,47,NA
legacy (S2_v2.R as written),meta-analysis,type_S,corrected,48,0.012151316603602004,0.0034456979445303057,0.02352123256291802,0.0034456979445303057,0.036965611321201325,0.07006599276241839,0.05055524690964122,6.031812924633213e-57,6.24855581366236e-6,0.0021950024574868927,0.05468571892174613,0.4993584751387011,0,NA
legacy (S2_v2.R as written),primary-study,power,corrected,5740,0.09056615234201149,0.087498186545034,0.09374169081567046,0.087498186545034,0.10976376384655968,0.11776141549492643,NA,0.05000000090330303,0.05759072265230289,0.07191597331047339,0.11563465324301672,1,9,study
legacy (S2_v2.R as written),primary-study,type_M,corrected,5740,7.790536756992956,7.132348399497952,8.509464143160821,7.132348399497952,27.946647210299695,160.85509912891987,NA,0.999,3.27675,5.4775,9.207,26350.083,5740,study
legacy (S2_v2.R as written),primary-study,type_S,corrected,5740,0.09853905845174973,0.09252165280191643,0.10486457047935563,0.09252165280191643,0.16715314480500001,0.15671043444777347,NA,2.2691068507896466e-159,0.02952341794514383,0.11565524034473258,0.2312563540321687,0.4998962001815142,0,study
corrected specification,meta-analysis,power,uncorrected,48,0.8220737046105893,0.7171736480520882,0.9423173559816781,0.7171736480520882,1.1371850969144004,0.710038425457268,0.8857097503950125,0.0539316785204883,0.3623751639861593,0.9129258088815501,0.9998999782868563,1,16,NA
corrected specification,meta-analysis,type_M,uncorrected,48,1.108706281623009,1.0249663589744729,1.1992877699324898,1.0249663589744729,1.297037778006769,1.7924375,1.176549651567944,0.998,1.00175,1.0550000000000002,1.64325,12.67,46,NA
corrected specification,meta-analysis,type_S,uncorrected,48,5.830502574538377e-4,-7.099687873945333e-4,0.001944899936388543,0,0.004250358270253073,0.013462737114737378,0.001625697414195957,7.970070141940813e-93,1.1008920415043813e-14,7.223375990578843e-8,5.279446924038867e-4,0.2962281539428636,0,NA
corrected specification,primary-study,power,uncorrected,5740,0.17153779868105995,0.16427594060972675,0.1791206689618041,0.16427594060972675,0.23104841916222174,0.22664490670695409,NA,0.05000645922206981,0.09185026465630813,0.13577740746176875,0.26135497577915895,1,69,study
corrected specification,primary-study,type_M,uncorrected,5740,2.857551324615444,2.7649217817177068,2.9532841134256613,2.7649217817177068,3.4821837479920346,3.854310104529616,NA,0.996,1.945,2.9059999999999997,4.0365,309.051,5729,study
corrected specification,primary-study,type_S,uncorrected,5740,0.026914000083800918,0.024972145604911566,0.028931312575780105,0.024972145604911566,0.043794157427432485,0.049893905409411514,NA,0,0.0019919124967934733,0.018302348059628173,0.057336105038322434,0.49122343371856075,0,study
corrected specification,meta-analysis,power,corrected,48,0.3903771039959561,0.29635898397792376,0.5142219118136186,0.29635898397792376,0.6941176237899098,0.40608145754710545,0.5337045120758701,0.05000003450386037,0.09341367445794788,0.2613870909145822,0.6611709368538004,1,4,NA
corrected specification,meta-analysis,type_M,corrected,48,2.1798724903359523,1.4806282281489818,3.2093431583862335,1.4806282281489818,6.219345081450739,93.02714583333332,35.09712526132404,0.995,1.2329999999999999,1.952,3.9905,4219.611,46,NA
corrected specification,meta-analysis,type_S,corrected,48,0.012225245985474795,0.0035094830874761555,0.02360554414218178,0.0035094830874761555,0.03708093217044862,0.07007059553837987,0.05060516858564434,6.031812924633213e-57,1.1168105980575671e-5,0.0021950024574868927,0.05468571892174613,0.4993584751387011,0,NA
corrected specification,primary-study,power,corrected,5740,0.08774295651913867,0.08486580350985168,0.09071765187288586,0.08486580350985168,0.1033940998947621,0.1061631333170593,NA,0.05000000090330303,0.05586307825853909,0.06810376475671787,0.1039884319508636,1,6,study
corrected specification,primary-study,type_M,corrected,5740,8.123781913774943,7.440706119385387,8.86956580782527,7.440706119385387,28.407059868280516,161.60068885017444,NA,0.999,3.58275,5.9990000000000006,10.4325,26294.047,5740,study
corrected specification,primary-study,type_S,corrected,5740,0.10431253331335777,0.09806014870847785,0.11088258625894437,0.09806014870847785,0.17277082181249626,0.17122360721799773,NA,1.6970934270344427e-72,0.040182739175389434,0.13582053996874144,0.25804042041347264,0.4998962001815142,0,study
