analysis,level,metric,scenario_label,grouping,n_units,model_median,ci_lower_raw,ci_upper,ci_lower_floored,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,min,q1,median_raw,q3,max,n_at_bound
B5 leave-one-study-out,primary-study,power,self-inclusive,study,5740,0.17153779868105995,0.16427594060972675,0.1791206689618041,0.16427594060972675,0.23104841916222174,0.2266449067069541,NA,0.05000645922206981,0.09185026465630813,0.13577740746176875,0.26135497577915895,1,69
B5 leave-one-study-out,primary-study,power,leave-one-out,study,5740,0.17223558800929578,0.16487572299164757,0.17992398904240547,0.16487572299164757,0.23296237405200962,0.2293719871415309,NA,0.05000647580368778,0.09169720505118495,0.1352753962635772,0.2691112640925257,1,68
B5 leave-one-study-out,primary-study,type_M,self-inclusive,study,5740,2.8570954156186543,2.764480960080719,2.952812600927005,2.764480960080719,3.481628151361247,3.8540214285714285,NA,0.997,1.943,2.9074999999999998,4.04075,311.423,5730
B5 leave-one-study-out,primary-study,type_M,leave-one-out,study,5740,2.8568645438257434,2.762431559547861,2.9545256944228253,2.762431559547861,3.495843372984527,3.9006287456445996,NA,0.997,1.914,2.9044999999999996,4.0495,308.153,5732
B5 leave-one-study-out,primary-study,type_S,self-inclusive,study,5740,0.026914000083789483,0.02497214560488529,0.028931312575784705,0.02497214560488529,0.04379415742741733,0.049893905409411514,NA,0,0.0019919124967934733,0.018302348059628173,0.057336105038322434,0.49122343371856075,0
B5 leave-one-study-out,primary-study,type_S,leave-one-out,study,5740,0.026944614170151503,0.0249775101934546,0.028989142933320527,0.0249775101934546,0.04396626411915432,0.04979899129289844,NA,0,0.0017774239365282937,0.018508987634147486,0.057609440784637866,0.491212178032369,0
