paper_left_out,n_models_dropped,n_rows_dropped,level,metric,scenario_label,n_units,model_median,ci_lower_raw,ci_upper,ci_lower_floored,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,min,q1,median_raw,q3,max,n_at_bound,grouping
MA01,3,52,meta-analysis,power,uncorrected,45,0.8206025579432613,0.7120626696966095,0.9456872081075899,0.7120626696966095,1.1472311864631521,0.6907076539192945,0.8846649028370358,0.0539316785204883,0.32060776159319526,0.8835729172885957,0.9995707411634385,1,13,NA
MA01,3,52,meta-analysis,type_M,uncorrected,45,1.1097570269376964,1.0227680435983566,1.2041446411491827,1.0227680435983566,1.3070696515150353,1.8452888888888888,1.178167545710267,0.998,1.003,1.072,1.74,12.67,43,NA
MA01,3,52,meta-analysis,type_S,uncorrected,45,5.88442781056929e-4,-7.552402665387606e-4,0.0020065948748401174,0,0.004499591483064159,0.014360252922386537,0.0016405596268433181,7.970070141940813e-93,2.0370792797041127e-13,1.794641993221186e-7,8.640979599358836e-4,0.2962281539428636,0,NA
MA01,3,52,primary-study,power,uncorrected,5688,0.16395924191079855,0.15719734259794324,0.17101200671515354,0.15719734259794324,0.21897271557794157,0.22165615436904665,NA,0.05000645922206981,0.09127480160006682,0.13387781121685605,0.25287091515231863,1,69,study
MA01,3,52,primary-study,type_M,uncorrected,5688,2.934768030009392,2.84004999202068,3.03264499363168,2.84004999202068,3.5678201276021535,3.878970639943741,NA,0.996,1.9777500000000001,2.9255,4.0595,309.051,5677,study
MA01,3,52,primary-study,type_S,uncorrected,5688,0.028023430281823747,0.02601460240911173,0.030111360788519316,0.02601460240911173,0.0452589629775128,0.050349944120620806,NA,0,0.0022606748026855906,0.019099841307404632,0.05837287836842772,0.49122343371856075,0,study
MA01,3,52,meta-analysis,power,corrected,45,0.3934155268636787,0.2959245962795703,0.5230243741929574,0.2959245962795703,0.7067698688310324,0.4207702473126683,0.5367119920178877,0.05000003450386037,0.09406961644090739,0.28977723593975846,0.685131495575072,1,4,NA
MA01,3,52,meta-analysis,type_M,corrected,45,2.1714418369202027,1.4536107088403887,3.24375682048248,1.4536107088403887,6.453321667521509,98.83415555555557,35.37094215893108,0.995,1.212,1.839,3.966,4219.611,43,NA
MA01,3,52,meta-analysis,type_S,corrected,45,0.012096112453946019,0.0031671437569202807,0.02385555919590586,0.0031671437569202807,0.03599257799884111,0.06767629159706208,0.0502818081371342,6.031812924633213e-57,7.82715834311169e-6,0.001321821624398462,0.05356025511606163,0.4993584751387011,0,NA
MA01,3,52,primary-study,power,corrected,5688,0.08853548415664282,0.08555788707728476,0.09161670796954786,0.08555788707728476,0.10443932732879248,0.1065258323624067,NA,0.05000000090330303,0.05586307825853909,0.06810376475671787,0.10489839075786986,1,6,study
MA01,3,52,primary-study,type_M,corrected,5688,8.07676113917074,7.380300778470954,8.838944706632104,7.380300778470954,28.456010082928906,162.9332332981716,NA,0.999,3.563,5.9990000000000006,10.429499999999999,26294.047,5688,study
MA01,3,52,primary-study,type_S,corrected,5688,0.10269109684424535,0.0963824125090327,0.109327666391316,0.0963824125090327,0.17064790147074363,0.17090518950891126,NA,1.6970934270344427e-72,0.03918590707632528,0.13582053996874144,0.25804042041347264,0.4998962001815142,0,study
MA05,3,37,meta-analysis,power,uncorrected,45,0.8268887311076095,0.7197056162316388,0.9500342337368781,0.7197056162316388,1.1443233417370087,0.7249483786412492,0.8886568261812477,0.0539316785204883,0.3762976314504807,0.9388691098542964,0.9999121730776179,1,16,NA
MA05,3,37,meta-analysis,type_M,uncorrected,45,1.1053433970773872,1.020186557645836,1.1976084337769997,1.020186557645836,1.2998040007177794,1.796111111111111,1.171747852007715,0.998,1.001,1.037,1.611,12.67,43,NA
MA05,3,37,meta-analysis,type_S,uncorrected,45,5.520352126693953e-4,-7.763693767322659e-4,0.0019532884505906734,0,0.004436520003475046,0.014038136025416571,0.0015930769864588579,7.970070141940813e-93,8.49344235505365e-15,2.4613873802517442e-8,4.158936032265545e-4,0.2962281539428636,0,NA
MA05,3,37,primary-study,power,uncorrected,5703,0.17033176400407127,0.1630930393422811,0.17789177236343998,0.1630930393422811,0.22912218928445355,0.22585470327078766,NA,0.05000645922206981,0.0916738955033779,0.1354520047186183,0.2598601738835775,1,69,study
MA05,3,37,primary-study,type_M,uncorrected,5703,2.8708252081053747,2.7770450067544257,2.9677723463061163,2.7770450067544257,3.4983071256097134,3.8620412063826053,NA,0.996,1.9535,2.907,4.04,309.051,5692,study
MA05,3,37,primary-study,type_S,uncorrected,5703,0.027091257444608892,0.02512488722976986,0.02913476722096118,0.02512488722976986,0.044060555790248694,0.050030272479108094,NA,0,0.0020365216775846866,0.01843595920778474,0.05765121601936342,0.49122343371856075,0,study
MA05,3,37,meta-analysis,power,corrected,45,0.39077099818888816,0.29369287061913296,0.5199376229447773,0.29369287061913296,0.704899115111382,0.40072761287040914,0.5343678435489704,0.05000003450386037,0.09144584850906934,0.2329969458894059,0.6531840839467097,1,4,NA
MA05,3,37,meta-analysis,type_M,corrected,45,2.1828045718105096,1.460790281672569,3.261683664311807,1.460790281672569,6.570490610692965,99.11302222222221,35.31236226547431,0.995,1.24,2.065,4.064,4219.611,43,NA
MA05,3,37,meta-analysis,type_S,corrected,45,0.0122706973519381,0.003253462108848325,0.02416582880172872,0.003253462108848325,0.03858502143121977,0.07441985167730189,0.050890317828842464,6.031812924633213e-57,1.2281755193063664e-5,0.0030681832905753233,0.05806211033879964,0.4993584751387011,0,NA
MA05,3,37,primary-study,power,corrected,5703,0.08610874217127971,0.08336819149363656,0.08893938258077584,0.08336819149363656,0.10093938742367477,0.10459126661323974,NA,0.05000000090330303,0.05578462757740127,0.06802642969542794,0.10308216423783878,1,6,study
MA05,3,37,primary-study,type_M,corrected,5703,8.316264887062651,7.6101919016919926,9.087847266560333,7.6101919016919926,29.113008250860567,162.63186603541996,NA,0.999,3.6025,6.038,10.4895,26294.047,5703,study
MA05,3,37,primary-study,type_S,corrected,5703,0.10683383593926685,0.10046151135599793,0.11352981771553189,0.10046151135599793,0.1760931077865602,0.1721471387567312,NA,1.6970934270344427e-72,0.04120861910789034,0.13628176580981538,0.25939611982222444,0.4998962001815142,0,study
MA06,2,46,meta-analysis,power,uncorrected,46,0.826635259254163,0.7197832713035227,0.9493494487649022,0.7197832713035227,1.1527415358929094,0.7150157405220414,0.8890654116264999,0.0539316785204883,0.37891038068629623,0.9287312495977567,0.999908108147364,1,16,NA
MA06,2,46,meta-analysis,type_M,uncorrected,46,1.1057175427295562,1.0207809969902082,1.1977214386874173,1.0207809969902082,1.3006915240454375,1.8081521739130435,1.1732330523357917,0.998,1.00125,1.0455,1.60575,12.67,44,NA
MA06,2,46,meta-analysis,type_S,uncorrected,46,5.81815103219873e-4,-7.454536221358846e-4,0.0019817152537056973,0,0.004411176818370402,0.014025627276741797,0.0016328474469825814,7.970070141940813e-93,9.331935041717038e-15,4.123881804167424e-8,4.029025183848999e-4,0.2962281539428636,0,NA
MA06,2,46,primary-study,power,uncorrected,5694,0.17070585378748465,0.16343088945916365,0.17830465595425524,0.16343088945916365,0.23013081797926413,0.22634111003946925,NA,0.05000645922206981,0.09128546358244286,0.13405133047050122,0.2607924174427192,1,69,study
MA06,2,46,primary-study,type_M,uncorrected,5694,2.869503164235293,2.775760154518779,2.9664120641517955,2.775760154518779,3.499770853536452,3.867424833157711,NA,0.996,1.9475,2.9204999999999997,4.055,309.051,5683,study
MA06,2,46,primary-study,type_S,uncorrected,5694,0.027236261728622688,0.025267912837160962,0.029281685579831983,0.025267912837160962,0.044294137553166225,0.05023548998487082,NA,0,0.002008572631835529,0.019025200456417223,0.05835344237953244,0.49122343371856075,0,study
MA06,2,46,meta-analysis,power,corrected,46,0.39513703645340525,0.29862141722570995,0.52284688428482,0.29862141722570995,0.6970323699431618,0.42024555160200416,0.5372934543285779,0.05000003450386037,0.100076194171487,0.2979483173352407,0.6771446426679815,1,4,NA
MA06,2,46,meta-analysis,type_M,corrected,46,2.1666765827062893,1.457142203674207,3.2217084936601106,1.457142203674207,6.393871916541356,96.81217391304347,35.34048472075869,0.995,1.219,1.8145,3.77625,4219.611,44,NA
MA06,2,46,meta-analysis,type_S,corrected,46,0.01193901504233661,0.0031310158701614264,0.023504854520568018,0.0031310158701614264,0.03624700063345636,0.06761735403208256,0.050284411453883494,6.031812924633213e-57,8.940807555599683e-6,0.0011873201138835818,0.047108659946700465,0.4993584751387011,0,NA
MA06,2,46,primary-study,power,corrected,5694,0.08799827334368891,0.08508553147538517,0.09101072740799421,0.08508553147538517,0.10379885695230717,0.10645406812951781,NA,0.05000000090330303,0.05586307825853909,0.06810376475671787,0.10477146105744087,1,6,study
MA06,2,46,primary-study,type_M,corrected,5694,8.131227237172308,7.440527791066974,8.886043872037153,7.440527791066974,28.686798402810012,162.84165718299968,NA,0.999,3.5702499999999997,6.015499999999999,10.43775,26294.047,5694,study
MA06,2,46,primary-study,type_S,corrected,5694,0.10386123355814719,0.09757952465524616,0.11046485484284094,0.09757952465524616,0.1725191420012706,0.1712734591019335,NA,1.6970934270344427e-72,0.03932300381002922,0.13582053996874144,0.25804042041347264,0.4998962001815142,0,study
MA08,1,531,meta-analysis,power,uncorrected,47,0.8058177859077919,0.6980147962699123,0.9302701139794242,0.6980147962699123,1.1186420960393575,0.7038690304054113,0.8740591228720241,0.0539316785204883,0.34845269652183797,0.9072582284218831,0.9998021454824398,1,15,NA
MA08,1,531,meta-analysis,type_M,uncorrected,47,1.1205451228125456,1.0315711986388658,1.2171931262871105,1.0315711986388658,1.3137788536256207,1.8093191489361702,1.1946488769437509,0.998,1.0025,1.056,1.6755,12.67,45,NA
MA08,1,531,meta-analysis,type_S,uncorrected,47,6.432442454691115e-4,-7.294328361826391e-4,0.002093556198929751,0,0.004396971064706441,0.013749178329944559,0.0017914193045660957,7.970070141940813e-93,5.218531961347454e-14,8.660375753074583e-8,6.39995781581219e-4,0.2962281539428636,0,NA
MA08,1,531,primary-study,power,uncorrected,5209,0.1803492372968537,0.17175709006845247,0.18937120663021198,0.17175709006845247,0.24747873374047696,0.2362629803243963,NA,0.05000645922206981,0.0906522588782458,0.14108590963730083,0.2830564782701578,1,69,study
MA08,1,531,primary-study,type_M,uncorrected,5209,2.8072171123380327,2.7034049839081495,2.9150156793789606,2.7034049839081495,3.4757606679419455,3.9017208677289297,NA,0.996,1.869,2.821,4.083,309.051,5198,study
MA08,1,531,primary-study,type_S,uncorrected,5209,0.026484378980953606,0.024306306671279296,0.028758666142366822,0.024306306671279296,0.04456825140902828,0.05117754209876406,NA,0,0.0014538538566782758,0.016283633060868094,0.0595229465189928,0.49122343371856075,0,study
MA08,1,531,meta-analysis,power,corrected,47,0.36342376831560325,0.27354912947878707,0.482826743511737,0.27354912947878707,0.6448649592067845,0.3979648593987708,0.5078265896275663,0.05000003450386037,0.09275773247498836,0.2329969458894059,0.640777958093695,1,4,NA
MA08,1,531,meta-analysis,type_M,corrected,47,2.3285778540602227,1.5522037706642344,3.493275125919426,1.5522037706642344,6.729681074990606,94.98217021276595,38.558577078134,0.995,1.2494999999999998,2.065,4.015000000000001,4219.611,45,NA
MA08,1,531,meta-analysis,type_S,corrected,47,0.013766794695878819,0.00428686164146766,0.026315309553840774,0.00428686164146766,0.04002822907306285,0.07156142708710655,0.055763652219675726,6.031812924633213e-57,1.4743412235230002e-5,0.0030681832905753233,0.05581118272743063,0.4993584751387011,0,NA
MA08,1,531,primary-study,power,corrected,5209,0.09315020286124892,0.08972638062332636,0.09670467294917343,0.08972638062332636,0.1108090551490372,0.11080805234216715,NA,0.05000000090330303,0.055733917820592116,0.07176848398302127,0.10921242890290794,1,6,study
MA08,1,531,primary-study,type_M,corrected,5209,8.074958600503926,7.292266944304331,8.941657909380435,7.292266944304331,31.944977899174912,177.14938183912463,NA,0.999,3.425,5.497,10.552,26294.047,5209,study
MA08,1,531,primary-study,type_S,corrected,5209,0.09313302905068671,0.08679209944134841,0.09983362082319677,0.08679209944134841,0.1595610446588659,0.16633122111243856,NA,1.6970934270344427e-72,0.03487359829100841,0.11635158126360788,0.260279840869293,0.4998962001815142,0,study
