case,es_type,paper,k,n_study_id,scenario,has_small_study_effect,has_decline_effect,gate_selects_c2,beta0,beta0_c,beta0_c2,beta0_c3,shrinkage,shrinkage_pct,corrected_toward_zero,se_beta0,se_beta0_c2
MA39_1.csv,SMD,MA39,37,21,2,FALSE,FALSE,TRUE,-0.11816493551417973,6.49213943645363e-5,6.49213943645363e-5,6.49213943645363e-5,0.11810001411981519,99.94505866390733,TRUE,0.11829107731418058,0.22686961600090164
MA26.csv,SMD,MA26,459,71,1,TRUE,FALSE,TRUE,0.22589965288436858,-0.27824208433771425,-0.0017570516382645024,-0.0017570516382645024,0.22414260124610408,99.22219816815571,TRUE,0.05823647930865843,0.13248570740740892
MA01_02.csv,SMD,MA01,14,13,3,TRUE,FALSE,TRUE,-1.3847886157232574,1.4276876998695969,-0.029132123115403263,-0.029132123115403263,1.355656492607854,97.8962765302495,TRUE,0.17169224753427653,0.5841939857347
MA13_03.csv,SMD,MA13,14,9,3,TRUE,FALSE,TRUE,1.0976514123708025,-1.7327000405231325,-0.029895716331059006,-0.029895716331059006,1.0677556960397436,97.27639248725717,TRUE,0.313139329336432,0.4934682983062198
MA06_02.csv,SMD,MA06,13,6,1,FALSE,FALSE,TRUE,0.8227067818908614,-0.5610487028611961,-0.07400659041018796,-0.07400659041018796,0.7487001914806735,91.00449977571651,TRUE,0.2609280870176003,0.47831135096686056
MA47_1.csv,Zr,MA47,65,25,1,FALSE,FALSE,TRUE,0.09574666360048853,-0.05869655749438599,0.008735408090999191,0.008735408090999191,0.08701125550948934,90.87654048453484,TRUE,0.05010860887758607,0.0926155921786396
MA01_03.csv,SMD,MA01,16,11,3,TRUE,FALSE,TRUE,1.6984009801615376,-2.4138877482879066,-0.24307311977363452,-0.24307311977363452,1.4553278603879032,85.68811943628792,TRUE,0.21964781161101243,0.41001084706896124
MA01_01.csv,SMD,MA01,22,20,3,TRUE,FALSE,TRUE,-1.4714367914931457,1.9687271860697881,0.2301128661826245,0.2301128661826245,1.241323925310521,84.36134888613756,TRUE,0.15846194405574549,0.40604766493164524
MA15_01.csv,SMD,MA15,5,3,3,FALSE,FALSE,TRUE,-0.5790574364484041,0.011450314728050788,0.10584858895219851,0.10584858895219851,0.4732088474962056,81.72053715406693,TRUE,0.3385515056999909,1.5586090165933217
MA15_02.csv,SMD,MA15,9,4,3,FALSE,FALSE,TRUE,-1.1925594205990069,-1.4500669588713715,0.23147502248453422,0.23147502248453422,0.9610843981144727,80.59006381683965,TRUE,0.1499454447888904,1.0560867698377812
MA23.csv,SMD,MA23,24,22,3,TRUE,FALSE,TRUE,-0.941060831414486,1.7798983587866066,0.18617969575533128,0.18617969575533128,0.7548811356591547,80.21597652986055,TRUE,0.3036103430977167,0.16761469502734413
MA10.csv,SMD,MA10,32,32,1,FALSE,FALSE,TRUE,0.48156202247916413,-0.5338244186047466,-0.10170890059521101,-0.10170890059521101,0.37985312188395315,78.87937672667871,TRUE,0.17093178929323732,0.3813945287759163
MA28_02.csv,SMD,MA28,84,41,1,TRUE,FALSE,TRUE,-0.7054960206833235,0.9379371653022254,0.15484791475285717,0.15484791475285717,0.5506481059304663,78.0511994096188,TRUE,0.08369249085694046,0.2436728335146741
MA25.csv,SMD,MA25,43,22,1,TRUE,FALSE,TRUE,0.6633060148621823,-0.761170828299214,-0.16554493208247015,-0.16554493208247015,0.4977610827797122,75.04244973311962,TRUE,0.1414042911143753,0.3723544762820647
MA28_01.csv,SMD,MA28,84,42,1,TRUE,FALSE,TRUE,-0.7030139163060111,0.9637004137445521,0.18056401554316504,0.18056401554316504,0.522449900762846,74.31572670823655,TRUE,0.08151513644934394,0.24734115805972948
MA45_02.csv,Zr,MA45,11,10,1,FALSE,TRUE,TRUE,0.9856311968197567,0.11874784466863862,0.2811670354303105,0.2811670354303105,0.7044641613894462,71.47340340509456,TRUE,0.17386793342332124,0.3125120477545397
MA09.csv,lnRR,MA09,1297,126,1,TRUE,TRUE,TRUE,0.21944703048501393,0.011640046610489532,0.0681099550025141,0.0681099550025141,0.15133707548249983,68.96291790689537,TRUE,0.03842099506762128,0.02666628465187017
