spec,scenario_label,model_median,ci_lower_raw,ci_lower_floored,ci_upper,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,n_at_bound,n_units
legacy (S2_v2.R as written),uncorrected,0.8220737046105893,0.7171736480520882,0.7171736480520882,0.9423173559816781,1.1371850969144004,0.710038425457268,0.8857097503950125,16,48
legacy (S2_v2.R as written),corrected,0.4485916802496061,0.3358946883025405,0.3358946883025405,0.59909996375981045,0.8063590103660583,0.4136217764413183,0.6154867582567266,4,48
corrected specification,uncorrected,0.8220737046105893,0.7171736480520882,0.7171736480520882,0.9423173559816781,1.1371850969144004,0.710038425457268,0.8857097503950125,16,48
corrected specification,corrected,0.3903771039959561,0.29635898397792376,0.29635898397792376,0.5142219118136186,0.6941176237899098,0.40608145754710545,0.5337045120758701,4,48
