case,es_type,study_ID,sei,power_base,power_opt,type_M_base,type_M_opt,type_S_base,type_S_opt,power_change_pp
MA09.csv,lnRR,CD001,0.27894200472499653,0.12335751991990473,0.18452990410764225,3.098,2.371,0.02440166301759795,0.0069198020027515265,6.117238418773752
MA09.csv,lnRR,CD001,0.35438543423792124,0.09495536803509763,0.13227127127729843,3.887,2.946,0.05214576122693052,0.019808439045129154,3.73159032422008
MA09.csv,lnRR,CD003,0.5726930399437381,0.06698401230495521,0.08087187506022586,6.214,4.688,0.14273388963895148,0.0824297835593409,1.3887862755270652
MA09.csv,lnRR,CD003,0.5697292558751043,0.0671628209559667,0.08119880672705715,6.208,4.594,0.14159506523757326,0.08148437419007495,1.4035985771090442
MA09.csv,lnRR,CD003,0.5448120675976258,0.06878482164058142,0.08416588410132442,5.896,4.431,0.13185693309536642,0.07354868511069056,1.5381062460743
MA09.csv,lnRR,CD004,0.1954533038861201,0.20226436379850743,0.32605232396464745,2.244,1.735,0.005070486179144606,8.030049304066058e-4,12.378796016614002
MA09.csv,lnRR,CD004,0.10308940294715067,0.5670219077445546,0.8159127415982663,1.325,1.118,3.8257213834779e-5,8.805195629302108e-7,24.88908338537117
MA09.csv,lnRR,CD006,0.09105615849573273,0.6736706623118873,0.8993456218058339,1.223,1.058,9.222345953984898e-6,1.1213999888844458e-7,22.567495949394655
MA09.csv,lnRR,CD006,0.08935629804328288,0.6900230073661743,0.9097839022251814,1.201,1.058,7.291313546568581e-6,7.944915707307345e-8,21.976089485900708
MA09.csv,lnRR,CD006,0.10062664657037916,0.5874089484721742,0.833949367041222,1.303,1.102,2.9463663304252343e-5,6.051341254374393e-7,24.654041856904783
MA09.csv,lnRR,CD006,0.13888888724444443,0.3521930693937473,0.5646640723971881,1.659,1.328,5.680880940897388e-4,3.942163490562967e-5,21.24710030034408
MA09.csv,lnRR,CD006,0.13850705758191528,0.35380780197624695,0.5669662225392608,1.66,1.325,5.562339067028227e-4,3.828433227547493e-5,21.31584205630138
MA09.csv,lnRR,CD006,0.2000461196824372,0.1951917604608019,0.31371110389769874,2.297,1.766,0.005727814120381105,9.488613774597974e-4,11.851934343689685
MA09.csv,lnRR,CD006,0.09401052600639993,0.6459247086267746,0.8802188146113767,1.246,1.068,1.3568798826387694e-5,1.9704739738234592e-7,23.42941059846021
MA09.csv,lnRR,CD006,0.1364940877840502,0.3625152777153947,0.5792754392433629,1.647,1.313,4.967000980354013e-4,3.27136610391637e-5,21.67601615279682
MA09.csv,lnRR,CD006,0.22407245256836014,0.16503806916173835,0.26024224000871643,2.538,1.96,0.009965328809799187,0.0020250133373630186,9.520417084697808
MA09.csv,lnRR,CD006,0.19229251155466248,0.20742848017991455,0.3350110958541379,2.216,1.712,0.0046462272994292385,7.12437582959162e-4,12.758261567422336
MA09.csv,lnRR,CD010,0.07453794335772888,0.8374757250439863,0.9769978023351832,1.098,1.015,5.604622948820575e-7,1.6955495097120565e-9,13.952207729119692
MA09.csv,lnRR,CD010,0.07950293076358883,0.7882252231536709,0.9597975901975502,1.138,1.028,1.4945618973423345e-6,7.51442842676444e-9,17.157236704387923
MA09.csv,lnRR,CD010,0.03144194650462977,0.9999997409305565,0.99999999999994,1.001,1,1.9564589550450975e-19,4.3195332058163166e-30,2.5906938350139797e-5
MA09.csv,lnRR,CD010,0.056278272894608274,0.9737710393961814,0.999478509650539,1.018,1,2.3869337067224556e-9,3.043361565263548e-13,2.57074702543576
MA09.csv,lnRR,CD010,0.49272014572168654,0.07301737811013298,0.09191952918424384,5.4,4.042,0.11064016312871634,0.05721297367781843,1.8902151074110862
MA09.csv,lnRR,CD010,0.39109306309368363,0.08677852279645581,0.11721043037668466,4.264,3.246,0.06741101621850684,0.028374487834861482,3.0431907580228845
MA09.csv,lnRR,CD010,0.11232233526774628,0.4975567396279005,0.7469175302285352,1.406,1.159,9.134279225897432e-5,3.042822418774849e-6,24.936079060063477
MA09.csv,lnRR,CD010,0.142663176748592,0.3368393469601114,0.5424712708198227,1.704,1.366,6.953490156346596e-4,5.217682684293317e-5,20.563192385971128
MA09.csv,lnRR,CD010,0.09017919383094972,0.6820742048971146,0.9047867123464137,1.219,1.061,8.179584142752475e-6,9.405699589309587e-8,22.271250744929915
MA09.csv,lnRR,CD010,0.09259238089605429,0.6591299226314075,0.8895451715673667,1.229,1.067,1.1311210657193164e-5,1.5114020639888803e-7,23.04152489359592
MA09.csv,lnRR,CD010,0.03464625520889668,0.9999938995916504,0.9999999999711358,1.001,1.001,5.479940484016101e-17,5.96787066817622e-26,6.100379485340923e-4
MA09.csv,lnRR,CD010,0.0544480761827266,0.9807938090515312,0.9997246064186309,1.014,1.002,1.067419254561176e-9,8.238919290732518e-14,1.8930797367099683
MA09.csv,lnRR,CD010,0.6292884076478765,0.06404404249000972,0.07550125032290245,6.818,5.084,0.16364507709385623,0.10041528772090706,1.1457207832892724
MA09.csv,lnRR,CD010,0.37663205917712317,0.08970980213167012,0.1226080272214286,4.131,3.113,0.06132258189169007,0.02484649844228159,3.289822508975848
MA09.csv,lnRR,CD010,0.1466820950218533,0.3216367934652047,0.5199624292776652,1.74,1.379,8.521745321640355e-4,6.914316857754499e-5,19.832563581246056
MA09.csv,lnRR,CD010,0.19908297516362367,0.1966344448125611,0.31623508098662145,2.264,1.758,0.00558593622382612,9.168312778261724e-4,11.960063617406036
MA09.csv,lnRR,CD011,0.06562289234710704,0.9168358573727347,0.9943405089414712,1.051,1,6.177555320822392e-8,5.527863959760157e-11,7.750465156873654
MA09.csv,lnRR,CD011,0.07825269963394234,0.8007707689442776,0.9646647569216993,1.124,1.019,1.1832873048193336e-6,5.282211485748698e-9,16.38939879774217
MA09.csv,lnRR,CD013,0.0693119614496661,0.8861132548347609,0.9890925635563081,1.069,1.002,1.6696380849168333e-7,2.619369079651028e-10,10.297930872154726
MA09.csv,lnRR,CD013,0.06908483914723983,0.8881070919875171,0.98948818209495,1.07,1.003,1.5762552105971232e-7,2.3950459351866355e-10,10.13810901074329
MA09.csv,lnRR,CD013,0.021960737692527543,0.9999999999999996,1,1,1,3.143900425536641e-33,1.0337024436790104e-53,4.440892098500626e-14
MA09.csv,lnRR,CD013,0.02254579783462985,0.9999999999999962,1,0.999,1,6.891731881486873e-32,2.1163872669072305e-51,3.774758283725532e-13
MA09.csv,lnRR,CD015,0.38142257143488506,0.0887009992760619,0.12075019008869492,4.164,3.167,0.06333091917682908,0.02599433506026356,3.204919081263302
MA09.csv,lnRR,CD015,0.28959502412852334,0.11793110919720506,0.1745680644958213,3.228,2.445,0.027868068005505123,0.008309827377671617,5.663695529861624
MA09.csv,lnRR,CD015,0.6226703333225375,0.06434654209211155,0.07605341359447637,6.742,5.061,0.1612832685435438,0.09832563095147792,1.1706871502364824
MA09.csv,lnRR,CD015,0.3232793590689019,0.10423100782915629,0.14936060804952145,3.545,2.707,0.03991378996099954,0.013657139508507372,4.512960022036516
MA09.csv,lnRR,CD030,0.3385738530955986,0.09934376219912233,0.14035701994708893,3.779,2.843,0.045821864303086636,0.01654381043447565,4.10132577479666
MA09.csv,lnRR,CD030,0.48756115513851184,0.0735130078287265,0.09282843616425707,5.293,3.979,0.10848490750190619,0.05562953936687839,1.9315428335530571
MA09.csv,lnRR,CD030,0.3503929808086914,0.09600638037479814,0.13420776622729658,3.855,2.9,0.05053095388901115,0.018958234607358827,3.8201385852498437
MA09.csv,lnRR,CD030,0.14949373565470894,0.3116534298536614,0.5048958127952708,1.771,1.4,9.758798341054297e-4,8.339232743612108e-5,19.324238294160946
MA09.csv,lnRR,CD030,0.21150003546098994,0.17952355801979214,0.2860916671194015,2.42,1.853,0.007580329585579873,0.0013924934260491786,10.656810909960935
MA09.csv,lnRR,CD031,0.3502283612159358,0.09605050661968062,0.1342890701292373,3.876,2.925,0.050464615868139905,0.018923546975500728,3.823856350955668
MA09.csv,lnRR,CD031,0.39406347712012085,0.08621678337270278,0.11617633132740579,4.295,3.257,0.0686701738044054,0.02912186683196477,2.9959547954703014
MA09.csv,lnRR,CD033,0.21234222848976603,0.17847119170201853,0.28422347564675343,2.417,1.859,0.0077286125661204085,0.0014299123850247237,10.575228394473491
MA09.csv,lnRR,CD033,0.06323268142345381,0.9345426619681011,0.9965591691918967,1.037,1.002,3.007761992446922e-8,1.7726245371085227e-11,6.20165072237956
