aggregation,weighting,se_source,crit_value_method,clustering_unit,metric,scenario,grouping,geometric_mean,ci_lower,ci_upper,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,summary_dominated_by_offset,scenario_family,convention_status,verification_status
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,uncorrected pooled mean,all metrics,0.1735445673806259,0.16637286256378328,0.18102541726588495,0.13577740746176875,0.09185026465630813,0.26135497577915895,0.05000645922206981,1,0.22664490670695409,NA,5740,FALSE,baseline,NA,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,uncorrected pooled mean,all metrics,2.891312589266131,2.794693913899744,2.9912715833640706,2.8974353822463295,1.9437191890688061,4.034184529413617,1,311.32915038097394,3.854763935328764,NA,5740,FALSE,baseline,NA,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,uncorrected pooled mean,all metrics,0.02763894107917661,0.02565382302182862,0.029701855706783693,0.018302348059628173,0.0019919124967934733,0.057336105038322434,0,0.49122343371856075,0.049893905409411514,NA,5740,TRUE,baseline,NA,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,optimistic (95% CI limit farther from zero),all metrics,0.2805673446717882,0.2690887192097031,0.2925356184657907,0.2247001914723165,0.13341364739670303,0.5118045353621155,0.05004425589496664,1,0.3498110196592008,NA,5740,FALSE,optimistic,NA,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,optimistic (95% CI limit farther from zero),all metrics,2.0166343254228094,1.9650021476878001,2.0696231845135094,2.111372311674425,1.3916435944939558,2.93440444361606,1,118.945476110265,2.5067804534833558,NA,5740,FALSE,optimistic,NA,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,optimistic (95% CI limit farther from zero),all metrics,0.010579822271190378,0.00969876803585152,0.011483247806997492,0.0034999978773841353,7.653456825753914e-5,0.019301254181090195,0,0.4770409037236672,0.020289102448338224,NA,5740,TRUE,optimistic,NA,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,small (d = 0.2),SMD,0.07671400239098372,0.07543609508590594,0.07801355778214694,0.07309286263157366,0.06628558110222205,0.08375890028908817,0.050223758891423276,0.5160052739761751,0.08548309662877092,NA,2835,FALSE,external,Cohen convention,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,small (d = 0.2),SMD,5.358250484607306,5.2529614109023,5.465649946753136,5.346245163256675,4.46322238744558,6.323755026684705,1.386265146567101,52.912113545162924,5.459260810626403,NA,2835,FALSE,external,Cohen convention,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,small (d = 0.2),SMD,0.10404054756741224,0.10027861292025417,0.10791544764386105,0.1103079780061533,0.07457262092077047,0.14731698215157493,7.263595109056949e-5,0.44852426524021494,0.11077961490939132,NA,2835,FALSE,external,Cohen convention,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,medium (d = 0.5),SMD,0.20525841601233819,0.19939361306501102,0.2112957215442881,0.20018685119586732,0.15533075980143274,0.26973266061086615,0.05139949358941276,0.9988172507035045,0.2558350135255631,NA,2835,FALSE,external,Cohen convention,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,medium (d = 0.5),SMD,2.2807241611864653,2.2410651630871024,2.321084984541136,2.256004434557383,1.911353866115543,2.6411521557689306,1.000786354786355,21.192378838779497,2.3108429496466996,NA,2835,FALSE,external,Cohen convention,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,medium (d = 0.5),SMD,0.008699790494986447,0.008072165753146211,0.00933932594202544,0.005253892490124404,0.0017613949077901674,0.012081137241822216,1.7038138812921882e-12,0.37364511395427835,0.010169243809006509,NA,2835,TRUE,external,Cohen convention,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,large (d = 0.8),SMD,0.41442908148278507,0.40342138689415874,0.42573713035131044,0.43040826185537695,0.3234611738010744,0.5761024744212344,0.05358741251267929,0.9999999992296009,0.480994281474592,NA,2835,FALSE,external,Cohen convention,two_derivations_r_and_python
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,large (d = 0.8),SMD,1.551872478674485,1.5299584512247917,1.5741003869349166,1.5115472063901578,1.3159399651853034,1.739914719744905,1.0000000005968248,13.275824261628212,1.5642186697523142,NA,2835,FALSE,external,Cohen convention,two_derivations_r_and_python
