aggregation,crit_value_method,exclusion_unit,role,verification_status,dropped_source_paper,n_models_dropped,n_models_remaining,n_effect_sizes_dropped,n_effect_sizes_remaining,pct_of_effect_sizes_dropped,metric,effect_estimator,se_source,se_method,spec_role,geometric_mean,ci_lower,ci_upper,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,summary_dominated_by_offset,weighting,summary_all_28_papers,abs_change,pct_change,influence_rank
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA01,3,45,52,5688,0.9059233449477352,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8206025579432613,0.7120626696966095,0.9456872081075899,0.8835729172885957,0.32060776159319526,0.9995707411634385,0.0539316785204883,1,0.6907076539192945,0.8846649028370358,45,FALSE,k_effect_sizes,0.8220737046105893,-0.0014711466673279494,-0.1789555679833854,22
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA01,3,45,52,5688,0.9059233449477352,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5483613840768583,0.4288016423618093,0.7012571264663355,0.8835729172885957,0.32060776159319526,0.9995707411634385,0.0539316785204883,1,0.6907076539192945,0.6907076539192946,45,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.020983188382238782,-3.68549897500714,3
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA05,3,45,37,5703,0.6445993031358885,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8268887311076095,0.7197056162316388,0.9500342337368781,0.9388691098542964,0.3762976314504807,0.9999121730776179,0.0539316785204883,1,0.7249483786412492,0.8886568261812477,45,FALSE,k_effect_sizes,0.8220737046105893,0.004815026497020258,0.5857171285269525,12
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA05,3,45,37,5703,0.6445993031358885,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5831026182642791,0.45768625997665874,0.742885887472343,0.9388691098542964,0.3762976314504807,0.9999121730776179,0.0539316785204883,1,0.7249483786412492,0.7249483786412493,45,FALSE,equal_per_meta_analysis,0.5693445724590971,0.013758045805182029,2.416470880851418,9
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA06,2,46,46,5694,0.8013937282229965,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.826635259254163,0.7197832713035227,0.9493494487649022,0.9287312495977567,0.37891038068629623,0.999908108147364,0.0539316785204883,1,0.7150157405220414,0.8890654116264999,46,FALSE,k_effect_sizes,0.8220737046105893,0.004561554643573773,0.5548839012840867,15
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA06,2,46,46,5694,0.8013937282229965,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5715316850983393,0.4486041995679866,0.7281440240325777,0.9287312495977567,0.37891038068629623,0.999908108147364,0.0539316785204883,1,0.7150157405220414,0.7150157405220413,46,FALSE,equal_per_meta_analysis,0.5693445724590971,0.0021871126392422058,0.3841456905078866,28
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA08,1,47,531,5209,9.250871080139373,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8058177859077919,0.6980147962699123,0.9302701139794242,0.9072582284218831,0.34845269652183797,0.9998021454824398,0.0539316785204883,1,0.7038690304054113,0.8740591228720241,47,FALSE,k_effect_sizes,0.8220737046105893,-0.01625591870279741,-1.977428375536927,6
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA08,1,47,531,5209,9.250871080139373,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5625620111522053,0.443496456240014,0.713593112050351,0.9072582284218831,0.34845269652183797,0.9998021454824398,0.0539316785204883,1,0.7038690304054113,0.7038690304054114,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.00678256130689181,-1.1912928716606097,13
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA09,1,47,1297,4443,22.59581881533101,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.7763948585980257,0.6663689715967359,0.9045874015007949,0.9072582284218831,0.34845269652183797,0.9998021454824398,0.0539316785204883,1,0.7038708989121542,0.8523717935596893,47,FALSE,k_effect_sizes,0.8220737046105893,-0.045678846012563556,-5.556539000867488,2
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA09,1,47,1297,4443,22.59581881533101,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5625630623502645,0.44349710839762685,0.7135947295448052,0.9072582284218831,0.34845269652183797,0.9998021454824398,0.0539316785204883,1,0.7038708989121542,0.7038708989121542,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.006781510108832545,-1.1911082386439564,17
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA10,1,47,32,5708,0.5574912891986062,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8221740756277708,0.7158705722792301,0.9442631626582811,0.918593389341217,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7080314846078961,0.8861657846207576,47,FALSE,k_effect_sizes,0.8220737046105893,1.0037101718152197e-4,0.012209491268078132,28
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA10,1,47,32,5708,0.5574912891986062,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5651738254820038,0.4452014692606498,0.7174761878940532,0.918593389341217,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7080314846078961,0.7080314846078963,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.004170746977093298,-0.7325523380470877,26
