aggregation,role,effect_estimator,se_source,se_method,crit_value_method,weighting,metric,geometric_mean,ci_lower,ci_upper,summary_dominated_by_offset,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,verification_status
meta_analysis_level,reference_uncorrected,uncorrected_beta0,se_beta0,NA,z_1.96,k_effect_sizes,power,0.8220737046105893,0.7171736480520882,0.9423173559816781,FALSE,0.9129258088815501,0.3623751639861593,0.9998999782868563,0.0539316785204883,1,0.710038425457268,0.8857097503950125,48,two_derivations
meta_analysis_level,reference_uncorrected,uncorrected_beta0,se_beta0,NA,z_1.96,k_effect_sizes,type_M,1.1085608464203045,1.0247973885855572,1.199170844797195,FALSE,1.0522991094122045,1.0000697227565538,1.6471049227013388,1,12.687025813993051,1.7913171905059158,1.1763456502520833,48,two_derivations
meta_analysis_level,reference_uncorrected,uncorrected_beta0,se_beta0,NA,z_1.96,k_effect_sizes,type_S,5.830502574538377e-4,-7.099687873945333e-4,0.001944899936388543,TRUE,7.223375990578843e-8,1.1008920415043813e-14,5.279446924038867e-4,7.970070141940813e-93,0.2962281539428636,0.013462737114737378,0.001625697414195957,48,two_derivations
meta_analysis_level,primary,yang2023_gated_beta0_c3,se_beta0,NA,z_1.96,k_effect_sizes,power,0.3903771039959561,0.29635898397792376,0.5142219118136186,FALSE,0.2613870909145822,0.09341367445794788,0.6611709368538004,0.05000003450386037,1,0.40608145754710545,0.5337045120758701,48,two_derivations
meta_analysis_level,primary,yang2023_gated_beta0_c3,se_beta0,NA,z_1.96,k_effect_sizes,type_M,2.1770696432395016,1.4787364010564437,3.2051907480798243,FALSE,1.954954181412633,1.2331473212863346,3.966498778200144,1,4259.631579854067,93.85939247325369,35.33964739459642,48,two_derivations
meta_analysis_level,primary,yang2023_gated_beta0_c3,se_beta0,NA,z_1.96,k_effect_sizes,type_S,0.012225245985474795,0.0035094830874761555,0.02360554414218178,TRUE,0.0021950024574868927,1.1168105980575671e-5,0.05468571892174613,6.031812924633213e-57,0.4993584751387011,0.07007059553837987,0.05060516858564434,48,two_derivations
meta_analysis_level,reported_sensitivity,yang2024_FE_VCV,own_CRVE,CR2_Satterthwaite,z_1.96,k_effect_sizes,power,0.47894781727745006,0.36770718748549447,0.6238415224991567,FALSE,0.8235842973000618,0.31298057105632804,0.9980339133823108,0.050429035375350595,1,0.6788743455794899,0.6481938875519733,48,two_derivations
meta_analysis_level,reported_sensitivity,yang2024_FE_VCV,own_CRVE,CR2_Satterthwaite,z_1.96,k_effect_sizes,type_M,1.5257428525710341,1.2742246036432885,1.8269081020062268,FALSE,1.1089119107637524,1.0012903544540392,1.775196133972699,1,38.22310033099711,2.292805390444782,2.2117698883784733,48,two_derivations
meta_analysis_level,reported_sensitivity,yang2024_FE_VCV,own_CRVE,CR2_Satterthwaite,z_1.96,k_effect_sizes,type_S,0.00562135507422323,0.0019885050803867474,0.009743213223139362,TRUE,7.591577731895303e-7,5.462743398965652e-12,0.0010370226683529648,1.5178806097150142e-58,0.42895589948540064,0.01446701072309654,0.012285459120216013,48,two_derivations
meta_analysis_level,supplementary,yang2024_UWLS,own_CRVE,CR2_naive_t,z_1.96,k_effect_sizes,power,0.3826850291624545,0.2654617643587782,0.5516720341960085,FALSE,0.8525236555419747,0.253312970030328,0.9990743157253013,0.05177897323809777,1,0.6740804434177975,0.6419971788897866,48,two_derivations
