MA_model,effect_size_type,k,n_study_cluster,effect_estimator,estimator_label,se_source,se_method,role,crit_value_method,assumed_effect,standard_error,power,type_M,type_S
MA28_02.csv,SMD,84,41,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.7054960206833235,0.08369249085694046,0.9999999999508873,1.0000000000385554,1.3827618123958532e-25
MA31.csv,SMD,734,212,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.3279277286373822,0.04600530787934395,0.9999998817426816,1.0000000887461507,5.0436384759067234e-20
MA32.csv,SMD,13,7,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,1.2905504034916613,0.28544754390376886,0.9947841857732664,1.0033382620183458,4.576342285544541e-11
MA14_01.csv,SMD,104,20,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.2735896277052463,0.06417018668242591,0.9893756647537234,1.0066609821406065,2.4575837463541124e-10
MA14_02.csv,SMD,167,17,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.23607219737444507,0.04459940983192463,0.9995707411634385,1.0002916217812952,2.0370792797041127e-13
MA18.csv,SMD,23,23,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,1.162867199352808,0.16735016199267433,0.9999996961324626,1.0000002263301744,2.5824034664350636e-19
MA39_1.csv,SMD,37,21,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,-0.11816493551417973,0.11829107731418058,0.1698121616481213,2.493361423844227,0.009090681575277561
MA39_2.csv,SMD,15,11,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.05200886324054964,0.2519697603594166,0.054894750365632516,11.384810283199583,0.2758249671651442
MA17.csv,Zr,66,22,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.07359859190408709,0.04475894647980437,0.3762976314504807,1.6135592522425084,4.158936032265545e-4
MA34.csv,Zr,555,23,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.18344269148767187,0.02969617669239383,0.9999876406475792,1.0000088699392822,2.0212970079885459e-16
MA41_01.csv,Zr,110,24,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.20862061601753856,0.06352594507633753,0.9072582284218831,1.0557295363775228,8.660375753074583e-8
MA41_02.csv,Zr,184,27,uncorrected_beta0,Uncorrected,se_beta0,NA,reference_uncorrected,z_1.96,0.1607852566099663,0.09617534534788812,0.386748628393743,1.5920404067969431,3.639292638599359e-4
