aggregation,role,verification_status,weighting,effect_estimator,se_source,se_method,crit_value_method,spec_role,metric,dropped_MA_model,dropped_k,dropped_pct_of_k,summary_all_48,summary_without,abs_change,pct_change,influence_rank
meta_analysis_level,influence_check,two_derivations,k_effect_sizes,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA43.csv,13,0.2264808362369338,0.8220737046105893,0.8250941079632045,0.0030204033526152196,0.3674127192823784,22
meta_analysis_level,influence_check,two_derivations,k_effect_sizes,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA45_01.csv,28,0.4878048780487805,0.8220737046105893,0.8212845494449154,-7.891551656739049e-4,-0.09599567061298053,32
meta_analysis_level,influence_check,two_derivations,k_effect_sizes,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA45_02.csv,11,0.1916376306620209,0.8220737046105893,0.821764673265648,-3.090313449413129e-4,-0.03759168347170494,40
meta_analysis_level,influence_check,two_derivations,k_effect_sizes,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA47_1.csv,65,1.132404181184669,0.8220737046105893,0.8271467597792385,0.005073055168649199,0.6171046635109478,13
meta_analysis_level,influence_check,two_derivations,k_effect_sizes,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA47_2.csv,38,0.662020905923345,0.8220737046105893,0.8210518735574518,-0.0010218310531374675,-0.12429920181201703,31
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA09.csv,1297,22.59581881533101,0.5693445724590971,0.5625630623502645,-0.006781510108832545,-1.1911082386439564,24
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA20_cleaned.csv,29,0.5052264808362369,0.5693445724590971,0.5788103661007892,0.009465793641692088,1.6625773037244773,9
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA22_01.csv,92,1.602787456445993,0.5693445724590971,0.5775849158927348,0.008240343433637665,1.4473385419388807,10
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA22_02.csv,92,1.602787456445993,0.5693445724590971,0.5802712251466239,0.010926652687526794,1.9191634057970752,8
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA22_03.csv,92,1.602787456445993,0.5693445724590971,0.580280456730178,0.010935884271080942,1.9207848463096644,7
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA01_01.csv,22,0.3832752613240418,0.5693445724590971,0.5625620110671584,-0.0067825613919386685,-1.1912928865982941,14
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA01_02.csv,14,0.24390243902439024,0.5693445724590971,0.5625620110732876,-0.00678256138580946,-1.1912928855217553,17
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA01_03.csv,16,0.2787456445993031,0.5693445724590971,0.5625620111139225,-0.006782561345174631,-1.191292878384631,19
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA05_01.csv,17,0.2961672473867596,0.5693445724590971,0.5860194597153329,0.016674887256235782,2.9287865491040233,4
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA05_02.csv,16,0.2787456445993031,0.5693445724590971,0.567106432327679,-0.002238140131418098,-0.39310818785032176,46
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA05_03.csv,4,0.06968641114982578,0.5693445724590971,0.5681689314360642,-0.001175641023032914,-0.20649024859499265,48
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA06_01.csv,33,0.5749128919860628,0.5693445724590971,0.5768539734527625,0.007509400993665372,1.3189554018633975,11
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA06_02.csv,13,0.2264808362369338,0.5693445724590971,0.5640455541179543,-0.005299018341142769,-0.9307225531729246,38
meta_analysis_level,influence_check,two_derivations,equal_per_meta_analysis,uncorrected_beta0,se_beta0,NA,z_1.96,reference_uncorrected,power,MA08.csv,531,9.250871080139373,0.5693445724590971,0.5625620111522052,-0.006782561306891921,-1.191292871660632,20
