aggregation,weighting,cluster_unit,crit_value_method,kish_effective_papers,largest_paper_weight_share,mean_distinct_papers_per_resample,effect_estimator,spec_role,metric,point_estimate,metric_lower_bound,limit_below_bound,ci_width_log,offset_used,summary_dominated_by_offset,candidate,method,log_ci_lower,log_ci_upper,ci_lower,ci_upper,se_log,df,n_cluster,B,seed,boot_bias_log
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,power,0.8220737046105893,0,FALSE,0.2730241155466876,0,FALSE,TRUE,model_based,-0.3324372807425787,-0.0594131651958911,0.7171736480520882,0.9423173559816781,0.06785768683469547,47,48,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,power,0.8220737046105893,0,FALSE,0.6307023222234969,0,FALSE,TRUE,CR2_paper_cluster,-0.5112763840809833,0.11942593814251354,0.5997296047573052,1.1268497843885146,0.09274971604461885,2.69037229779323,28,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,power,0.8220737046105893,0,FALSE,0.38037603567506584,0,FALSE,TRUE,bootstrap_paper_percentile,-0.4467566567689821,-0.06638062109391626,0.6396995558929474,0.9357746209391714,0.098945572087946,NA,28,20000,20260815,-0.013973867767496595
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,power,0.8220737046105893,0,FALSE,0.3873371201535979,0,FALSE,TRUE,bootstrap_paper_bca,-0.4563532307675411,-0.06901611061394322,0.6335899940868394,0.933311643733499,0.098945572087946,NA,28,20000,20260815,-0.013973867767496595
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,power,0.8220737046105893,0,FALSE,0.33647815269948655,0,FALSE,FALSE,bootstrap_model_percentile,-0.4259833014515251,-0.08950514875203854,0.6531272483066327,0.9143835571779806,0.08719327174714223,NA,48,20000,20260815,-0.017959150615096703
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,type_M,1.1085608464203045,1,FALSE,0.15713543192170681,0,FALSE,TRUE,model_based,0.02449492337851973,0.18163035530022653,1.0247973885855572,1.199170844797195,0.039054597461572665,47,48,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,type_M,1.1085608464203045,1,TRUE,0.32600465927781547,0,FALSE,TRUE,CR2_paper_cluster,-0.059939690299534595,0.26606496897828086,0.9418213328339338,1.3048198287443002,0.04794153836415607,2.69037229779323,28,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,type_M,1.1085608464203045,1,FALSE,0.19729787586557446,0,FALSE,TRUE,bootstrap_paper_percentile,0.036307218309735566,0.23360509417531003,1.0369743750742613,1.2631455701575633,0.05111568669864235,NA,28,20000,20260815,0.007513843802814307
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,type_M,1.1085608464203045,1,FALSE,0.1986346462379412,0,FALSE,TRUE,bootstrap_paper_bca,0.036967746431664006,0.2356023926696052,1.0376595520751442,1.2656709700520907,0.05111568669864235,NA,28,20000,20260815,0.007513843802814307
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,uncorrected_beta0,reference_uncorrected,type_M,1.1085608464203045,1,FALSE,0.17520384587457732,0,FALSE,FALSE,bootstrap_model_percentile,0.047514765662980026,0.22271861153755734,1.0486616851919923,1.2494689381218338,0.04546181316868309,NA,48,20000,20260815,0.00949525848179772
