specification,weighting,metric,dropped_paper,n_models_dropped,n_effect_sizes_dropped,pct_of_effect_sizes,summary_all_28_papers,summary_without,change_pct,influence_rank
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA20,1,29,0.5,0.0230,0.0231,+0.2,26
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA43,1,13,0.2,0.0230,0.0230,-0.1,27
Yang 2024 bias-robust (UWLS),By effect-size count,Type S error,MA05,3,37,0.6,0.0230,0.0230,-0.1,28
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA39,2,52,0.9,0.5693,0.6150,+8.0,1
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA22,3,276,4.8,0.5693,0.6014,+5.6,2
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA01,3,52,0.9,0.5693,0.5484,-3.7,3
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA15,4,36,0.6,0.5693,0.5902,+3.7,4
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA21,1,11,0.2,0.5693,0.5887,+3.4,5
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA43,1,13,0.2,0.5693,0.5847,+2.7,6
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA28,2,168,2.9,0.5693,0.5556,-2.4,7
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA45,2,39,0.7,0.5693,0.5556,-2.4,8
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA05,3,37,0.6,0.5693,0.5831,+2.4,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA14,2,271,4.7,0.5693,0.5557,-2.4,10
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA41,4,527,9.2,0.5693,0.5595,-1.7,11
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA20,1,29,0.5,0.5693,0.5788,+1.7,12
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA08,1,531,9.3,0.5693,0.5626,-1.2,13
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA31,1,734,12.8,0.5693,0.5626,-1.2,14
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA18,1,23,0.4,0.5693,0.5626,-1.2,15
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA34,1,555,9.7,0.5693,0.5626,-1.2,16
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA09,1,1297,22.6,0.5693,0.5626,-1.2,17
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA24,1,139,2.4,0.5693,0.5626,-1.2,18
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA25,1,43,0.7,0.5693,0.5626,-1.2,19
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA32,1,13,0.2,0.5693,0.5626,-1.2,20
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA26,1,459,8.0,0.5693,0.5629,-1.1,21
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA12,1,70,1.2,0.5693,0.5629,-1.1,22
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA23,1,24,0.4,0.5693,0.5642,-0.9,23
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA17,1,66,1.1,0.5693,0.5744,+0.9,24
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA47,2,103,1.8,0.5693,0.5646,-0.8,25
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA10,1,32,0.6,0.5693,0.5652,-0.7,26
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA13,3,94,1.6,0.5693,0.5655,-0.7,27
Uncorrected pooled mean,Each meta-analysis weighted equally,Statistical power,MA06,2,46,0.8,0.5693,0.5715,+0.4,28
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA39,2,52,0.9,1.3891,1.3102,-5.7,1
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA15,4,36,0.6,1.3891,1.3373,-3.7,2
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA22,3,276,4.8,1.3891,1.3562,-2.4,3
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA01,3,52,0.9,1.3891,1.4198,+2.2,4
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA21,1,11,0.2,1.3891,1.3645,-1.8,5
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA28,2,168,2.9,1.3891,1.4091,+1.4,6
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA45,2,39,0.7,1.3891,1.4091,+1.4,7
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA14,2,271,4.7,1.3891,1.4089,+1.4,8
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA41,4,527,9.2,1.3891,1.4071,+1.3,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA43,1,13,0.2,1.3891,1.3712,-1.3,10
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA05,3,37,0.6,1.3891,1.3752,-1.0,11
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA20,1,29,0.5,1.3891,1.3792,-0.7,12
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA08,1,531,9.3,1.3891,1.3988,+0.7,13
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA31,1,734,12.8,1.3891,1.3988,+0.7,14
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA18,1,23,0.4,1.3891,1.3988,+0.7,15
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA34,1,555,9.7,1.3891,1.3988,+0.7,16
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA09,1,1297,22.6,1.3891,1.3988,+0.7,17
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA24,1,139,2.4,1.3891,1.3988,+0.7,18
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA25,1,43,0.7,1.3891,1.3988,+0.7,19
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA32,1,13,0.2,1.3891,1.3987,+0.7,20
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA26,1,459,8.0,1.3891,1.3983,+0.7,21
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA12,1,70,1.2,1.3891,1.3983,+0.7,22
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA13,3,94,1.6,1.3891,1.3981,+0.7,23
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA47,2,103,1.8,1.3891,1.3979,+0.6,24
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA23,1,24,0.4,1.3891,1.3966,+0.5,25
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA10,1,32,0.6,1.3891,1.3954,+0.5,26
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA17,1,66,1.1,1.3891,1.3847,-0.3,27
Uncorrected pooled mean,Each meta-analysis weighted equally,Type M error,MA06,2,46,0.8,1.3891,1.3894,+0.0,28
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA39,2,52,0.9,0.0042,0.0026,-37.0,1
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA15,4,36,0.6,0.0042,0.0029,-30.4,2
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA41,4,527,9.2,0.0042,0.0046,+9.6,3
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA21,1,11,0.2,0.0042,0.0038,-8.8,4
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA01,3,52,0.9,0.0042,0.0045,+7.2,5
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA13,3,94,1.6,0.0042,0.0044,+6.7,6
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA28,2,168,2.9,0.0042,0.0044,+4.7,7
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA45,2,39,0.7,0.0042,0.0044,+4.7,8
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA14,2,271,4.7,0.0042,0.0044,+4.7,9
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA47,2,103,1.8,0.0042,0.0043,+4.6,10
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA06,2,46,0.8,0.0042,0.0043,+4.1,11
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA43,1,13,0.2,0.0042,0.0040,-2.8,12
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA22,3,276,4.8,0.0042,0.0043,+2.8,13
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA08,1,531,9.3,0.0042,0.0043,+2.3,14
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA18,1,23,0.4,0.0042,0.0043,+2.3,14
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA31,1,734,12.8,0.0042,0.0043,+2.3,14
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA34,1,555,9.7,0.0042,0.0043,+2.3,14
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA09,1,1297,22.6,0.0042,0.0043,+2.3,18
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA24,1,139,2.4,0.0042,0.0043,+2.3,19
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA25,1,43,0.7,0.0042,0.0043,+2.3,20
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA32,1,13,0.2,0.0042,0.0043,+2.3,21
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA26,1,459,8.0,0.0042,0.0043,+2.3,22
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA12,1,70,1.2,0.0042,0.0043,+2.3,23
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA23,1,24,0.4,0.0042,0.0043,+2.3,24
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA10,1,32,0.6,0.0042,0.0043,+2.3,25
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA17,1,66,1.1,0.0042,0.0042,+2.1,26
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA20,1,29,0.5,0.0042,0.0042,+1.2,27
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA05,3,37,0.6,0.0042,0.0042,+0.1,28
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA39,2,52,0.9,0.2505,0.2681,+7.0,1
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA14,2,271,4.7,0.2505,0.2360,-5.8,2
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA06,2,46,0.8,0.2505,0.2636,+5.2,3
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA45,2,39,0.7,0.2505,0.2411,-3.8,4
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA13,3,94,1.6,0.2505,0.2598,+3.7,5
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA01,3,52,0.9,0.2505,0.2594,+3.6,6
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA26,1,459,8.0,0.2505,0.2592,+3.5,7
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA28,2,168,2.9,0.2505,0.2426,-3.2,8
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA05,3,37,0.6,0.2505,0.2429,-3.0,9
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA31,1,734,12.8,0.2505,0.2432,-2.9,10
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA15,4,36,0.6,0.2505,0.2577,+2.9,11
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA32,1,13,0.2,0.2505,0.2432,-2.9,12
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA12,1,70,1.2,0.2505,0.2434,-2.8,13
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA18,1,23,0.4,0.2505,0.2438,-2.7,14
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA20,1,29,0.5,0.2505,0.2566,+2.4,15
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA08,1,531,9.3,0.2505,0.2444,-2.4,16
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA43,1,13,0.2,0.2505,0.2560,+2.2,17
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA10,1,32,0.6,0.2505,0.2559,+2.2,18
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA23,1,24,0.4,0.2505,0.2557,+2.1,19
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA24,1,139,2.4,0.2505,0.2454,-2.0,20
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA34,1,555,9.7,0.2505,0.2456,-1.9,21
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA21,1,11,0.2,0.2505,0.2545,+1.6,22
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA41,4,527,9.2,0.2505,0.2468,-1.5,23
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA09,1,1297,22.6,0.2505,0.2477,-1.1,24
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA17,1,66,1.1,0.2505,0.2515,+0.4,25
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA47,2,103,1.8,0.2505,0.2514,+0.4,26
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA25,1,43,0.7,0.2505,0.2513,+0.3,27
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA22,3,276,4.8,0.2505,0.2505,-0.0,28
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA39,2,52,0.9,2.9364,2.4338,-17.1,1
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA26,1,459,8.0,2.9364,2.7388,-6.7,2
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA14,2,271,4.7,2.9364,3.0761,+4.8,3
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA05,3,37,0.6,2.9364,3.0558,+4.1,4
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA41,4,527,9.2,2.9364,3.0513,+3.9,5
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA45,2,39,0.7,2.9364,3.0444,+3.7,6
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA28,2,168,2.9,2.9364,3.0347,+3.3,7
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA13,3,94,1.6,2.9364,2.8477,-3.0,8
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA06,2,46,0.8,2.9364,2.8568,-2.7,9
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA22,3,276,4.8,2.9364,3.0135,+2.6,10
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA31,1,734,12.8,2.9364,3.0044,+2.3,11
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA32,1,13,0.2,2.9364,3.0042,+2.3,12
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA12,1,70,1.2,2.9364,3.0032,+2.3,13
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA18,1,23,0.4,2.9364,3.0005,+2.2,14
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA08,1,531,9.3,2.9364,2.9964,+2.0,15
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA24,1,139,2.4,2.9364,2.9907,+1.9,16
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA34,1,555,9.7,2.9364,2.9895,+1.8,17
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA15,4,36,0.6,2.9364,2.8844,-1.8,18
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA01,3,52,0.9,2.9364,2.8848,-1.8,19
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA09,1,1297,22.6,2.9364,2.9778,+1.4,20
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA47,2,103,1.8,2.9364,2.9076,-1.0,21
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA20,1,29,0.5,2.9364,2.9078,-1.0,22
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA43,1,13,0.2,2.9364,2.9149,-0.7,23
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA10,1,32,0.6,2.9364,2.9163,-0.7,24
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA25,1,43,0.7,2.9364,2.9556,+0.7,25
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA23,1,24,0.4,2.9364,2.9181,-0.6,26
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA17,1,66,1.1,2.9364,2.9541,+0.6,27
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA21,1,11,0.2,2.9364,2.9306,-0.2,28
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA39,2,52,0.9,0.0249,0.0206,-17.3,1
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA26,1,459,8.0,0.0249,0.0226,-9.5,2
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA15,4,36,0.6,0.0249,0.0228,-8.7,3
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA22,3,276,4.8,0.0249,0.0270,+8.1,4
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA06,2,46,0.8,0.0249,0.0230,-7.9,5
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA05,3,37,0.6,0.0249,0.0268,+7.3,6
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA41,4,527,9.2,0.0249,0.0266,+6.5,7
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA14,2,271,4.7,0.0249,0.0265,+6.1,8
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA28,2,168,2.9,0.0249,0.0265,+6.1,9
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA45,2,39,0.7,0.0249,0.0264,+6.0,10
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA47,2,103,1.8,0.0249,0.0236,-5.2,11
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA13,3,94,1.6,0.0249,0.0239,-4.3,12
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA01,3,52,0.9,0.0249,0.0241,-3.4,13
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA20,1,29,0.5,0.0249,0.0241,-3.2,14
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA31,1,734,12.8,0.0249,0.0257,+3.0,15
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA32,1,13,0.2,0.0249,0.0257,+3.0,16
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA12,1,70,1.2,0.0249,0.0257,+3.0,17
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA18,1,23,0.4,0.0249,0.0257,+3.0,18
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA08,1,531,9.3,0.0249,0.0257,+3.0,19
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA24,1,139,2.4,0.0249,0.0257,+3.0,20
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA34,1,555,9.7,0.0249,0.0257,+3.0,21
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA09,1,1297,22.6,0.0249,0.0257,+2.9,22
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA43,1,13,0.2,0.0249,0.0244,-2.3,23
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA25,1,43,0.7,0.0249,0.0255,+2.3,24
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA17,1,66,1.1,0.0249,0.0255,+2.2,25
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA10,1,32,0.6,0.0249,0.0244,-2.2,26
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA23,1,24,0.4,0.0249,0.0245,-1.9,27
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA21,1,11,0.2,0.0249,0.0249,-0.2,28
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA39,2,52,0.9,0.5308,0.5753,+8.4,1
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA22,3,276,4.8,0.5308,0.5675,+6.9,2
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA01,3,52,0.9,0.5308,0.5089,-4.1,3
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA20,1,29,0.5,0.5308,0.5472,+3.1,4
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA09,1,1297,22.6,0.5308,0.5465,+3.0,5
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA28,2,168,2.9,0.5308,0.5164,-2.7,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA14,2,271,4.7,0.5308,0.5165,-2.7,7
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA45,2,39,0.7,0.5308,0.5165,-2.7,8
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA13,3,94,1.6,0.5308,0.5176,-2.5,9
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA43,1,13,0.2,0.5308,0.5437,+2.4,10
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA21,1,11,0.2,0.5308,0.5416,+2.0,11
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA05,3,37,0.6,0.5308,0.5406,+1.8,12
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA17,1,66,1.1,0.5308,0.5391,+1.6,13
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA15,4,36,0.6,0.5308,0.5233,-1.4,14
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA08,1,531,9.3,0.5308,0.5237,-1.3,15
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA31,1,734,12.8,0.5308,0.5237,-1.3,16
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA18,1,23,0.4,0.5308,0.5237,-1.3,17
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA24,1,139,2.4,0.5308,0.5237,-1.3,18
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA32,1,13,0.2,0.5308,0.5237,-1.3,19
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA25,1,43,0.7,0.5308,0.5240,-1.3,20
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA23,1,24,0.4,0.5308,0.5240,-1.3,21
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA47,2,103,1.8,0.5308,0.5370,+1.2,22
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA26,1,459,8.0,0.5308,0.5258,-0.9,23
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA34,1,555,9.7,0.5308,0.5260,-0.9,24
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA10,1,32,0.6,0.5308,0.5263,-0.9,25
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA41,4,527,9.2,0.5308,0.5271,-0.7,26
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA06,2,46,0.8,0.5308,0.5277,-0.6,27
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA12,1,70,1.2,0.5308,0.5310,+0.0,28
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA22,3,276,4.8,1.4619,1.3541,-7.4,1
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA39,2,52,0.9,1.4619,1.3897,-4.9,2
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA01,3,52,0.9,1.4619,1.4994,+2.6,3
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA13,3,94,1.6,1.4619,1.4862,+1.7,4
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA28,2,168,2.9,1.4619,1.4862,+1.7,5
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA14,2,271,4.7,1.4619,1.4860,+1.7,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA45,2,39,0.7,1.4619,1.4860,+1.6,7
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA20,1,29,0.5,1.4619,1.4393,-1.5,8
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA09,1,1297,22.6,1.4619,1.4406,-1.5,9
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA15,4,36,0.6,1.4619,1.4810,+1.3,10
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA43,1,13,0.2,1.4619,1.4456,-1.1,11
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA21,1,11,0.2,1.4619,1.4489,-0.9,12
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA41,4,527,9.2,1.4619,1.4742,+0.8,13
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA08,1,531,9.3,1.4619,1.4737,+0.8,14
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA31,1,734,12.8,1.4619,1.4737,+0.8,15
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA18,1,23,0.4,1.4619,1.4737,+0.8,16
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA24,1,139,2.4,1.4619,1.4737,+0.8,17
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA32,1,13,0.2,1.4619,1.4737,+0.8,18
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA25,1,43,0.7,1.4619,1.4733,+0.8,19
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA23,1,24,0.4,1.4619,1.4733,+0.8,20
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA17,1,66,1.1,1.4619,1.4527,-0.6,21
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA26,1,459,8.0,1.4619,1.4706,+0.6,22
