part,level,assumed_effect,weighting,metric,n_unit,summary_estimate,ci,raw_median_iqr,offset_note
B. Sensitivity to the assumed effect (primary-study level),lnRR,50% change,-,Type M error,1602,1.5285,"[1.4455, 1.6164]","1.3956 [1.0250, 2.2627]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,50% change,-,Type S error,1602,0.0056,"[0.0043, 0.0070]","8e-05 [8.1e-09, 0.0053]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),lnRR,optimistic (95% CI limit farther from zero),-,Statistical power,1602,0.2580,"[0.2308, 0.2883]","0.2450 [0.1102, 0.6729]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,optimistic (95% CI limit farther from zero),-,Type M error,1602,2.2923,"[2.1115, 2.4887]","2.0125 [1.2227, 3.4078]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,optimistic (95% CI limit farther from zero),-,Type S error,1602,0.0189,"[0.0155, 0.0227]","0.0025 [9.3e-06, 0.0340]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),SMD,optimistic (95% CI limit farther from zero),-,Statistical power,2835,0.2773,"[0.2638, 0.2915]","0.1869 [0.1322, 0.3705]",
B. Sensitivity to the assumed effect (primary-study level),SMD,optimistic (95% CI limit farther from zero),-,Type M error,2835,1.9822,"[1.9268, 2.0391]","2.3500 [1.6259, 2.9535]",
B. Sensitivity to the assumed effect (primary-study level),SMD,optimistic (95% CI limit farther from zero),-,Type S error,2835,0.0091,"[0.0082, 0.0099]","0.0066 [0.00045, 0.0198]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),Zr,optimistic (95% CI limit farther from zero),-,Statistical power,1303,0.3476,"[0.3138, 0.3850]","0.3610 [0.2126, 0.5855]",
B. Sensitivity to the assumed effect (primary-study level),Zr,optimistic (95% CI limit farther from zero),-,Type M error,1303,1.7783,"[1.6697, 1.8940]","1.6469 [1.3059, 2.1785]",
B. Sensitivity to the assumed effect (primary-study level),Zr,optimistic (95% CI limit farther from zero),-,Type S error,1303,0.0075,"[0.0056, 0.0096]","0.00051 [3e-05, 0.0043]",summary sensitive to the 0.025 offset
