obs_ID,study_ID,year,ntot,es,var,meta_ID,note,note2,research_aim
obs_063,Molina_2_2019,2019,NA,0.132246701,0.008637673,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_064,Molina_1_2016,2016,NA,0.366056448,0.60945855,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_065,Molina_1_2016,2016,NA,-0.105352441,0.012819023,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_066,Monteiro_2014,2014,NA,0.981243933,0.463296554,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_067,Nawaz_2018,2018,NA,-0.282820863,0.002046301,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_068,Nawaz_2018,2018,NA,-0.336188058,0.001370295,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_069,Novaes_2021,2021,NA,-0.045090755,0.007653243,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_070,Novaes_2021,2021,NA,-0.081777399,0.006405469,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_071,Rule_2020,2020,NA,-0.018125208,0.008329862,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_072,Rule_2020,2020,NA,-0.190877034,0.008453278,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_073,Shilpa_2017,2017,NA,-0.873731117,0.031827746,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_074,Shilpa_2017,2017,NA,-0.85311183,0.023585514,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_075,Sun_2016,2016,NA,0.261414146,0.003901605,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_076,vanderVeen_2015,2015,NA,-0.029787335,0.000441025,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_077,vanderVeen_2015,2015,NA,-0.065434241,0.000524801,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_078,vanderVeen_2015,2015,NA,-0.007707265,0.00078045,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_079,vanderVeen_2015,2015,NA,0.055102954,0.00369239,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_080,vanderVeen_2015,2015,NA,0.031930469,0.000835492,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_081,vanderVeen_2015,2015,NA,-0.104572804,0.002341173,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_082,Veena_2009,2009,NA,-0.643956936,0.045265354,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_083,Veena_2009,2009,NA,-0.653926467,0.032035273,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_084,Veena_2009,2009,NA,0.092468913,0.000838384,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_085,Veena_2009,2009,NA,0.136451365,0.001453369,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_086,Vivinetto_2013,2013,NA,-0.069510679,0.002234336,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_087,Vivinetto_2013,2013,NA,0.524370375,0.180896781,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_088,Vivinetto_2013,2013,NA,0.141985956,0.008004562,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_089,Vivinetto_2013,2013,NA,0.767255153,0.280538927,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_090,Zubedat_2015,2015,NA,0.179156738,0.001266778,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_091,Zubedat_2015,2015,NA,0.48543133,0.001171153,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
obs_092,Zubedat_2015,2015,NA,0.044134313,0.001141895,ma22_01,environmental enrichment,this paper is also used in MA22_02 and MA22_03,human
