MA_model,effect_size_type,source_paper,uses_effective_n,k,n_study_cluster,scenario,beta0,se_beta0,ci_lb_beta0,ci_ub_beta0,beta0_se_model,beta0_var_model,se_beta0_var_model,ci_lb_beta0_var_model,ci_ub_beta0_var_model,beta0_c3,gate_selects_var_model,has_small_study_effect,has_decline_effect,rho,FE_VCV_estimate,FE_VCV_estimate_rma,FE_VCV_CRVE_SE_CR2,FE_VCV_CRVE_df_Satterthwaite,FE_VCV_CR2_ci_lb,FE_VCV_CR2_ci_ub,FE_VCV_CR2_pval,FE_VCV_working_SE,FE_VCV_CRVE_SE_CR1,FE_VCV_CRVE_SE_CR0,UWLS_estimate,UWLS_estimate_lm,UWLS_CRVE_SE_CR2_naive_t,UWLS_CR2_df,UWLS_CR2_ci_lb,UWLS_CR2_ci_ub,UWLS_CRVE_SE_CR1,UWLS_CRVE_SE_CR0,crve_cluster_n,crve_df,n_negative_weight,prop_negative_weight,observed_effect_min,observed_effect_max,FE_VCV_within_observed_range,UWLS_within_observed_range,observed_effects_straddle_zero,FE_VCV_ci_includes_zero,UWLS_ci_includes_zero,FE_VCV_ci_includes_zero_CR1,UWLS_ci_includes_zero_CR1,cr2_status,uwls_cr2_status,vcv_max_abs_diff,wrapper_max_abs_diff,reversal_se_model,reversal_var_model,reversal_c3,shrinkage_magnitude,change_in_assumed_effect,t_c3_fixed_se,t_c3_own_se,corrected_ci_includes_zero,uncorrected_ci_includes_zero,ma_power_c3,ma_type_M_c3,ma_type_S_c3,reversal_FE_VCV,reversal_UWLS,crve_variant,crve_verification_status,crve_diagnostic_variant,crve_diagnostic_verification_status,point_estimate_verification_status,R_version,metafor_version,clubSandwich_version
MA09.csv,lnRR,MA09,FALSE,1297,126,1,0.21944703048501393,0.03842099506762128,0.14407287134438088,0.29482118962564696,0.011640046610489532,0.0681099550025141,0.02666628465187017,0.015796065593360373,0.12042384441166783,0.0681099550025141,TRUE,TRUE,TRUE,0.5,-0.12739276794999974,-0.1273927679499996,0.15070137388923802,4.211359635481777,-0.5376538347063224,0.2828682988063232,0.443283852285003,0.0025107024361261283,0.11444203964618066,0.11398699991308005,-0.030275609501797925,-0.030275609501797914,0.10894103255270385,125,-0.24588343353237524,0.1853322145287794,0.09451527867642968,0.0941394709110681,126,125,626,0.4826522744795682,-5.081404365,5.10291057,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ok,ok,1.4210854715202004e-14,0,FALSE,FALSE,FALSE,0.15133707548249983,0.15133707548249983,1.7727275122010764,2.554159902352103,FALSE,FALSE,0.4258323371242434,1.5193516371890883,2.2244032771990847e-4,TRUE,TRUE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA20_cleaned.csv,lnRR,MA20,FALSE,29,8,3,0.15618598357445485,0.11813302494430482,-0.08579854840333498,0.3981705155522447,-0.06717152624620831,0.06088865856102059,0.11641796060866239,-0.17798126568223266,0.29975858280427387,0.06088865856102059,TRUE,FALSE,FALSE,0.5,0.08431147702569239,0.0843114770256924,0.10463293570213118,3.112594282459431,-0.2419654906040254,0.4105884446554102,0.47736537988706795,0.04458344636636907,0.09806158422780507,0.09172821274618047,0.06808764027783626,0.06808764027783624,0.0778015610759703,7,-0.11588381785418032,0.2520590984098528,0.07576289388003192,0.07086969788239791,8,7,12,0.41379310344827586,-0.65,1.93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ok,ok,2.220446049250313e-16,0,TRUE,FALSE,FALSE,0.09529732501343426,0.09529732501343426,0.5154245274742372,0.5230177392103363,TRUE,TRUE,0.08094820991870255,4.6505793844769485,0.08220769041356407,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA22_01.csv,lnRR,MA22,FALSE,92,30,3,-0.05465569682344966,0.03890615105670374,-0.13193798644884575,0.022626592801946413,-0.019549204412859403,-0.06684511192238451,0.04260822179726194,-0.15149378139166417,0.017803557546895138,-0.05465569682344966,FALSE,FALSE,FALSE,0.5,0.056933635709887506,0.056933635709887534,0.03116536053059729,10.101332033727536,-0.012412807770345827,0.1262800791901209,0.09738147248262778,0.006734834554110677,0.03030832484662725,0.029798904954853513,0.028290547517023413,0.02829054751702341,0.030720831551556065,29,-0.03454060780318467,0.09112170283723149,0.029511932037255096,0.029015897851910628,30,29,29,0.31521739130434784,-0.907216931,0.981243933,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ok,ok,2.220446049250313e-16,0,FALSE,FALSE,FALSE,0,0,1.4048086315141213,1.2827500073462794,TRUE,TRUE,0.28977723593975846,1.840814936167618,0.001321821624398462,TRUE,TRUE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA22_02.csv,lnRR,MA22,FALSE,92,30,4,0.03452585079677678,0.02810151050298772,-0.021294347671012875,0.09034604926456644,0.03452585079677678,0.03452585079677678,0.02810151050298772,-0.021294347671012875,0.09034604926456644,0.03452585079677678,FALSE,FALSE,FALSE,0.5,-0.0017740308582411238,-0.0017740308582411344,0.02899142344579986,10.101332033727536,-0.06628321904561559,0.0627351573291333,0.9524004489598363,0.006734834554110677,0.02860840094837201,0.028127553241060956,0.01470340327888769,0.014703403278887696,0.02189321664776422,29,-0.030073252370752875,0.059480058928528264,0.021742716967719455,0.02137726712578287,30,29,29,0.31521739130434784,-1.28652021,0.994762347,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ok,ok,2.220446049250313e-16,0,FALSE,FALSE,FALSE,0,0,1.2286119208113753,1.2286119208113753,TRUE,TRUE,0.2329969458894059,2.069093426657648,0.0030681832905753233,TRUE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA22_03.csv,lnRR,MA22,FALSE,92,30,3,-0.04580320918496699,0.037297913843469976,-0.11989093315110966,0.028284514781175683,-0.011983305919066095,-0.05005390435084059,0.038280831881520636,-0.12610545844681875,0.025997649745137588,-0.04580320918496699,FALSE,FALSE,FALSE,0.5,0.04832243289955773,0.04832243289955774,0.0319301223026108,9.96743422597077,-0.022853833357322738,0.11949869915643821,0.16122610998996798,0.013563669153477832,0.03170870341147715,0.03117574606916604,0.026795423631243005,0.026795423631242987,0.02122691757146606,29,-0.01661849739702695,0.07020934465951292,0.021007107314383773,0.02065402154046765,30,29,30,0.32608695652173914,-1.209972695,3.784189634,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ok,ok,7.105427357601002e-15,0,FALSE,FALSE,FALSE,0,0,1.2280367576908353,1.1965050635975767,TRUE,TRUE,0.23282279429855401,2.0699514394812484,0.003076592418836161,TRUE,TRUE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA01_01.csv,SMD,MA01,FALSE,22,20,3,-1.4714367914931457,0.15846194405574549,-1.800976444213937,-1.1418971387723542,1.9687271860697881,0.2301128661826245,0.40604766493164524,-0.616887720712445,1.077113453077694,0.2301128661826245,TRUE,TRUE,FALSE,0.5,-1.4072791836527625,-1.407279183652763,0.15154998754213558,17.31759217804848,-1.7265756053700345,-1.0879827619354914,3.8632326748224386e-8,0.12324888768578003,0.1512331231465814,0.14740381494328972,-1.4222193866257353,-1.4222193866257353,0.16010421609801612,19,-1.7573213621310693,-1.0871174111204014,0.1591646849625813,0.15513454512865876,20,19,0,0,-2.96,-0.55,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,ok,ok,5.551115123125783e-17,0,TRUE,TRUE,TRUE,1.241323925310521,1.7015496576757703,1.4521648560721485,0.5667139256209295,TRUE,FALSE,0.3061193987307229,1.7894318694418232,0.0010528186033687016,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA01_02.csv,SMD,MA01,FALSE,14,13,3,-1.3847886157232574,0.17169224753427653,-1.7557071658539596,-1.0138700655925552,1.4276876998695969,-0.029132123115403263,0.5841939857347,-1.301981474248602,1.2437172280177953,-0.029132123115403263,TRUE,TRUE,FALSE,0.5,-1.3538451313364777,-1.3538451313364777,0.1739358830913558,11.186074752892072,-1.7358999021129375,-0.9717903605600178,7.650942614240285e-6,0.14436929814162167,0.17337881373500325,0.16657697611381292,-1.368395614136234,-1.368395614136234,0.1695447028904896,12,-1.7378017879961511,-0.9989894402763168,0.16896697517158094,0.1623382187295315,13,12,0,0,-2.28,-0.27,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,ok,ok,1.1102230246251565e-16,0,TRUE,FALSE,FALSE,1.355656492607854,1.355656492607854,0.16967640376183754,0.049867208199286445,TRUE,FALSE,0.05330450284540933,13.827266159233423,0.3114306688160342,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA01_03.csv,SMD,MA01,FALSE,16,11,3,1.6984009801615376,0.21964781161101243,1.230232751920046,2.166569208403029,-2.4138877482879066,-0.24307311977363452,0.41001084706896124,-1.122458926469045,0.636312686921776,-0.24307311977363452,TRUE,TRUE,FALSE,0.5,1.5546444855747892,1.5546444855747892,0.16630238204074982,8.837194380154617,1.1773832228870658,1.9319057482625126,7.1029140166501615e-6,0.14362836870789952,0.1660889927560854,0.1583596410784096,1.5736747238246525,1.5736747238246533,0.18897472941251925,10,1.152612787177026,1.9947366604722807,0.18653996733890185,0.17785888025673757,11,10,0,0,0.5,4.75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,ok,ok,2.220446049250313e-16,0,TRUE,TRUE,TRUE,1.4553278603879032,1.941474099935172,1.1066494038379375,0.5928455832602672,TRUE,FALSE,0.19782493161485537,2.2718015896919135,0.0054719765550372435,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA05_01.csv,SMD,MA05,FALSE,17,9,2,0.28420900014765826,0.3159402157937035,-0.3855543375505207,0.9539723378458372,0.5254233844891688,0.5254233844891688,0.505884655083452,-0.5528442336941187,1.6036910026724565,0.28420900014765826,FALSE,FALSE,FALSE,0.5,0.29008980760634995,0.2900898076063501,0.28509655020539515,6.721308312804734,-0.38976453797836347,0.9699441531910638,0.3441283212494278,0.14333927453742346,0.2803085382078104,0.2642774242549749,0.17874448197943507,0.17874448197943515,0.363075735651031,8,-0.6585096658241367,1.015998629783007,0.33557690952333424,0.31638494444476556,9,8,0,0,-2.01,1.492,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ok,ok,8.326672684688674e-17,0,FALSE,FALSE,FALSE,0,0,0.899565759406949,0.5618059320276761,TRUE,TRUE,0.14660308280344003,2.7458817954959907,0.014470010488862612,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
MA05_02.csv,SMD,MA05,FALSE,16,10,1,-1.043924298168363,0.4274793872119504,-1.955075043777446,-0.13277355255928003,3.827317977012132,1.1956924981016641,0.38524444501138333,0.3634224740226677,2.0279625221806605,-1.043924298168363,FALSE,TRUE,FALSE,0.5,-0.5092129029248362,-0.5092129029248362,0.22728002030674885,7.201209298456765,-1.0436155858448906,0.025189779995218098,0.058992856480954085,0.14452800195670423,0.22578104781404057,0.21419470907752475,-0.573452886234062,-0.573452886234062,0.2788060490085451,9,-1.2041559870302097,0.05725021456208568,0.25982079013736203,0.24648764408960303,10,9,0,0,-6.451,0.706,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ok,ok,2.220446049250313e-16,0,TRUE,TRUE,FALSE,0,0,2.4420459310960188,2.7097711899194725,FALSE,FALSE,0.685131495575072,1.2122828151379135,7.82715834311169e-6,FALSE,FALSE,CR2_Satterthwaite_clubSandwich_cluster_study_ID,reproduces_published_worked_example,CR1_sandwich_t_on_J_minus_1,single_derivation_not_reported,two_derivations,4.6.0,5.0.1,0.7.0
