aggregation,weighting,se_source,crit_value_method,clustering_unit,metric,scenario,grouping,geometric_mean,ci_lower,ci_upper,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,summary_dominated_by_offset,scenario_family,convention_status,verification_status
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,small (r = 0.1),Zr,4.9197374926839155,4.62847634961192,5.229327141090225,4.444505321364009,3.306735854338432,5.751875283521168,1.2792530045469803,117.09093726466959,5.192981326433114,NA,1303,FALSE,external,"Cohen convention, atanh-transformed to the analysis scale",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,small (r = 0.1),Zr,0.08094765394050998,0.07250605763685544,0.09012008225482043,0.07381154055356735,0.0306014072686878,0.1261197969590719,2.1481338517293186e-5,0.4766777523395103,0.09205822854789643,NA,1303,FALSE,external,"Cohen convention, atanh-transformed to the analysis scale",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,medium (r = 0.3),Zr,0.3287059698924176,0.30213692089093475,0.3576114243976093,0.3848472728085569,0.24766220725920296,0.6234526709302634,0.05043470418262952,0.9999996495331469,0.44544695172678156,NA,1303,FALSE,external,"Cohen convention, atanh-transformed to the analysis scale",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,medium (r = 0.3),Zr,1.7952986888526636,1.7043640856094833,1.8910850148802028,1.5958832515506765,1.267755178161751,2.0009225206332406,1.0000002607278615,37.973362554491494,1.8607768810382281,NA,1303,FALSE,external,"Cohen convention, atanh-transformed to the analysis scale",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,medium (r = 0.3),Zr,0.0053535151296256085,0.003799324814120264,0.0069915792009360295,3.728488962587353e-4,1.8373674644161674e-5,0.0024459806680395394,3.3121237990336963e-19,0.4284945806797475,0.007790357284407688,NA,1303,TRUE,external,"Cohen convention, atanh-transformed to the analysis scale",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,large (r = 0.5),Zr,0.650084947447648,0.6066553989683194,0.6966235520473472,0.840894727093816,0.6197844307617325,0.9810805357017296,0.05136991395356805,1,0.7632688758763034,NA,1303,FALSE,external,"Cohen convention, atanh-transformed to the analysis scale",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,large (r = 0.5),Zr,1.2504413873502096,1.2037829103989097,1.2989083411062627,1.0974572371160494,1.011662759697575,1.2712967568852729,1,21.419072547606085,1.2719937660451877,NA,1303,FALSE,external,"Cohen convention, atanh-transformed to the analysis scale",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,large (r = 0.5),Zr,0.0011476916187616974,4.910003279396565e-4,0.0018213003881406287,5.196995068172923e-7,1.027371233036393e-9,1.9292282815055016e-5,2.483955070154267e-46,0.37492960556214,0.0015415332045053691,NA,1303,TRUE,external,"Cohen convention, atanh-transformed to the analysis scale",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,10% change,lnRR,0.115119289913148,0.1028899670047299,0.12880216891796842,0.07520843409901318,0.05785778791425472,0.13990515368394052,0.050016731056638064,1,0.15404175814083443,NA,1602,FALSE,external,"reference value, not a convention",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,10% change,lnRR,4.6029226206067255,4.120306962757521,5.142067531083588,5.126999657333631,2.836418568162749,9.018641369829833,1,193.4437155285429,7.311435148320002,NA,1602,FALSE,external,"reference value, not a convention",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,10% change,lnRR,0.06903894404402686,0.057866969805331535,0.08171710354185838,0.10154901604383822,0.01670770027602737,0.2275674907752127,2.129178586760404e-131,0.48587709328816514,0.13101161947865267,NA,1602,FALSE,external,"reference value, not a convention",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,25% change,lnRR,0.2513729336113871,0.22133317842601383,0.28548974085924084,0.1934746649716807,0.09385669759737061,0.5294290815100252,0.050091713527696036,1,0.346131139482357,NA,1602,FALSE,external,"reference value, not a convention",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,25% change,lnRR,2.2894673526017297,2.0965731658927447,2.5001086744316954,2.3019082285225956,1.3695183415709618,3.9467320631550655,1,82.63164376083984,3.2783429257622765,NA,1602,FALSE,external,"reference value, not a convention",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,25% change,lnRR,0.018910053735793055,0.015145503428917448,0.023027615907075603,0.00590226964767014,6.14392313237336e-5,0.053907899787013894,0,0.46697421601319283,0.04152536305843369,NA,1602,TRUE,external,"reference value, not a convention",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,50% change,lnRR,0.44368505169429684,0.39886913769334464,0.49353636692823405,0.5087282543207188,0.19918568349994925,0.9586668434676238,0.05030285011070257,1,0.554679631436911,NA,1602,FALSE,external,"reference value, not a convention",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,50% change,lnRR,1.571866238189874,1.4742750028704432,1.6759176313445994,1.3956243883990147,1.0249806431691453,2.2626553332889947,1,45.48628611238651,1.9957598618815255,NA,1602,FALSE,external,"reference value, not a convention",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,50% change,lnRR,0.006010814277469766,0.004503971898741792,0.007594614903111856,7.951587294065086e-5,8.11182459365615e-9,0.00534507243273813,0,0.4401899526028469,0.012833021868122418,NA,1602,TRUE,external,"reference value, not a convention",single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,uncorrected pooled mean,lnRR,0.18594084286140808,0.1630311690023033,0.21206985912934473,0.1385422647848762,0.07611886910140875,0.3773418494812534,0.05000645922206981,1,0.27513540773363265,NA,1602,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,uncorrected pooled mean,lnRR,3.0196730715117015,2.6922177363370756,3.38695690758619,2.8561032073500847,1.611365743927316,5.041002061096065,1,311.32915038097394,4.957517245411939,NA,1602,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,uncorrected pooled mean,lnRR,0.032995978051365504,0.026422850449172447,0.04040931591217536,0.017214874444317,4.103740478092309e-4,0.09808200535513463,0,0.49122343371856075,0.07117174297522674,NA,1602,TRUE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,optimistic (95% CI limit farther from zero),lnRR,0.28314311509061463,0.2499804753155777,0.32070514115956317,0.24504533759250996,0.11016140255154111,0.6729400483479854,0.05004425589496664,1,0.3903117291630341,NA,1602,FALSE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,optimistic (95% CI limit farther from zero),lnRR,2.12281755481284,1.9454386789201374,2.316369269229769,2.0125326926551406,1.2226839159836569,3.407812572401364,1,118.945476110265,3.015856829842668,NA,1602,FALSE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,optimistic (95% CI limit farther from zero),lnRR,0.015606063791394627,0.012265545747214203,0.019246028967764957,0.002545683372728898,9.318411074422245e-6,0.034008612441589724,0,0.4770409037236672,0.03465525991706399,NA,1602,TRUE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,uncorrected pooled mean,SMD,0.16965689563889821,0.16125432196045816,0.17849730715984227,0.12311336650300886,0.09397706584689569,0.19253980253069225,0.050260990905542036,0.9993350437393466,0.19205872225465787,NA,2835,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,uncorrected pooled mean,SMD,2.788884394332657,2.691034013743302,2.8902927741641564,3.115983490802453,2.3085569605776115,3.941678358994232,1.0004477381171448,48.99544346191932,3.459891783104995,NA,2835,FALSE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_S,uncorrected pooled mean,SMD,0.025111338542449277,0.023056572362093082,0.02725396084421429,0.024545455568959103,0.0059998965382928125,0.053711048497671235,5.044695016444795e-13,0.44443963964127026,0.0432659531755563,NA,2835,TRUE,baseline,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,power,optimistic (95% CI limit farther from zero),SMD,0.26334722143523526,0.24998216083304428,0.2774268324049604,0.18691124961077588,0.13222791001107154,0.37051919202184336,0.052406054837595306,0.9999999999943519,0.29728333799852596,NA,2835,FALSE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
primary_study_level,unweighted,own_sampling_error_per_effect_size,z_1.96,meta_analysis_x_study_ID,type_M,optimistic (95% CI limit farther from zero),SMD,2.040250394621686,1.9807555246353736,2.1015322794670577,2.3500104300474964,1.6258900744782558,2.953548860992105,1.0000000000044742,16.1849986573351,2.4388930803497213,NA,2835,FALSE,optimistic,NA,single_derivation_migrated_from_audit_pipeline
