aggregation,se_source,crit_value_method,clustering_unit,effect_estimator,role,verification_status,metric,assumed_effect,geometric_mean,ci_lower,ci_upper,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,summary_dominated_by_offset,weighting
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,power,self_inclusive,0.17354456738265894,0.16637286256343695,0.18102541727050317,0.13577740746176875,0.09185026465630813,0.26135497577915895,0.05000645922206981,1,0.2266449067069541,NA,5740,FALSE,unweighted_per_effect_size
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,power,self_inclusive,0.22373017244298032,0.21521052568905363,0.23258709071547842,0.13577740746176875,0.09185026465630813,0.26135497577915895,0.05000645922206981,1,0.2266449067069541,NA,5740,FALSE,equal_per_meta_analysis
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,type_M,self_inclusive,2.891312589257372,2.7946939138799447,2.991271583367138,2.8974353822463295,1.9437191890688061,4.034184529413617,1,311.32915038097394,3.8547639353287644,NA,5740,FALSE,unweighted_per_effect_size
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,type_M,self_inclusive,2.6037665272507873,2.5206062442187682,2.689670448917293,2.8974353822463295,1.9437191890688061,4.034184529413617,1,311.32915038097394,3.8547639353287644,NA,5740,FALSE,equal_per_meta_analysis
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,type_S,self_inclusive,0.027638941079194776,0.025653823021877707,0.029701855706768435,0.018302348059628173,0.0019919124967934733,0.057336105038322434,0,0.49122343371856075,0.04989390540941152,NA,5740,TRUE,unweighted_per_effect_size
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,type_S,self_inclusive,0.023914275606123622,0.022036478465026314,0.02586703843806734,0.018302348059628173,0.0019919124967934733,0.057336105038322434,0,0.49122343371856075,0.04989390540941152,NA,5740,TRUE,equal_per_meta_analysis
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,power,leave_one_cluster_out,0.17449750864321836,0.16725290404470414,0.18205591524169534,0.1352753962635772,0.09169720505118495,0.2691112640925257,0.05000647580368778,1,0.22937198714153087,NA,5740,FALSE,unweighted_per_effect_size
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,power,leave_one_cluster_out,0.22785387977881752,0.21885417440617275,0.23722367037836817,0.1352753962635772,0.09169720505118495,0.2691112640925257,0.05000647580368778,1,0.22937198714153087,NA,5740,FALSE,equal_per_meta_analysis
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,type_M,leave_one_cluster_out,2.8833294734583967,2.7860127879180374,2.984045474797173,2.905157588814127,1.913691640689378,4.041115183792029,1,310.9303154177796,3.900953112067399,NA,5740,FALSE,unweighted_per_effect_size
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,type_M,leave_one_cluster_out,2.555032421648139,2.4682589489962723,2.6448564800414762,2.905157588814127,1.913691640689378,4.041115183792029,1,310.9303154177796,3.900953112067399,NA,5740,FALSE,equal_per_meta_analysis
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,type_S,leave_one_cluster_out,0.0274842971881461,0.025503272293843054,0.029543029119114307,0.018508987634147486,0.0017774239365282937,0.057609440784637866,0,0.491212178032369,0.049798991292898435,NA,5740,TRUE,unweighted_per_effect_size
primary_study_level,own_sampling_error_per_effect_size,z_1.96,MA_model_x_study_ID,uncorrected_beta0,influence_check,two_derivations,type_S,leave_one_cluster_out,0.02244071684044569,0.02053387690825364,0.024427410252593533,0.018508987634147486,0.0017774239365282937,0.057609440784637866,0,0.491212178032369,0.049798991292898435,NA,5740,TRUE,equal_per_meta_analysis
