aggregation,role,effect_estimator,se_source,se_method,crit_value_method,weighting,metric,geometric_mean,ci_lower,ci_upper,summary_dominated_by_offset,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,verification_status
primary_study_level,reference_uncorrected,uncorrected_beta0,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,power,0.17153779868105995,0.16427594060972675,0.1791206689618041,FALSE,0.13577740746176875,0.09185026465630813,0.26135497577915895,0.05000645922206981,1,0.22664490670695409,NA,5740,two_derivations
primary_study_level,reference_uncorrected,uncorrected_beta0,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,type_M,2.85744698983048,2.7648033515931987,2.953194951455135,FALSE,2.8974353822463295,1.9437191890688061,4.034184529413617,1,311.32915038097394,3.854763935328764,NA,5740,two_derivations
primary_study_level,reference_uncorrected,uncorrected_beta0,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,type_S,0.026914000083800918,0.024972145604911566,0.028931312575780105,TRUE,0.018302348059628173,0.0019919124967934733,0.057336105038322434,0,0.49122343371856075,0.049893905409411514,NA,5740,two_derivations
primary_study_level,primary,yang2023_gated_beta0_c3,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,power,0.08774295651913867,0.08486580350985168,0.09071765187288586,FALSE,0.06810376475671787,0.05586307825853909,0.1039884319508636,0.05000000090330303,1,0.1061631333170593,NA,5740,two_derivations
primary_study_level,primary,yang2023_gated_beta0_c3,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,type_M,8.12310412207895,7.440068797016427,8.868845487638081,FALSE,6.008958717319455,3.5827376029828195,10.41506789340757,1,26326.259054329243,161.57649332977613,NA,5740,two_derivations
primary_study_level,primary,yang2023_gated_beta0_c3,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,type_S,0.10431253331335777,0.09806014870847785,0.11088258625894437,FALSE,0.13582053996874144,0.040182739175389434,0.25804042041347264,1.6970934270344427e-72,0.4998962001815142,0.17122360721799773,NA,5740,two_derivations
primary_study_level,reported_sensitivity,yang2024_FE_VCV,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,power,0.12941132569995736,0.12406045453293352,0.13499298614108055,FALSE,0.09480802579370096,0.06925725039969458,0.1827776621008296,0.05000059152662284,1,0.16574485798222827,NA,5740,two_derivations
primary_study_level,reported_sensitivity,yang2024_FE_VCV,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,type_M,3.832118963697485,3.684604381142371,3.985539350462618,FALSE,3.907345300613837,2.382117560451336,5.832930910765807,1,1028.7718709483245,8.276927078877751,NA,5740,two_derivations
primary_study_level,reported_sensitivity,yang2024_FE_VCV,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,type_S,0.049105908467022084,0.04585727058750951,0.052503488691966534,FALSE,0.0523775881480624,0.007142960341847229,0.12920721511692032,1.187555228449868e-223,0.49734378708291155,0.09119496272150762,NA,5740,two_derivations
primary_study_level,supplementary,yang2024_UWLS,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,power,0.11659490781955802,0.11144620240908105,0.12198147837779988,FALSE,0.07410563979652895,0.056154106857610825,0.13483371658103094,0.050001688210444706,1,0.1362155613247772,NA,5740,two_derivations
primary_study_level,supplementary,yang2024_UWLS,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,type_M,4.597896941180138,4.383018867373938,4.823309440686934,FALSE,5.237663879279907,2.912008629504354,10.169559287318734,1,608.9668090569588,10.602670362676994,NA,5740,two_derivations
primary_study_level,supplementary,yang2024_UWLS,own_sampling_error_per_effect_size,NA,z_1.96,unweighted,type_S,0.06667111183315255,0.06205443025156283,0.0715326258576656,FALSE,0.10598582825879663,0.018693211415066677,0.25312918682043806,1.4142828854700375e-51,0.4955127390526398,0.15062464467226017,NA,5740,two_derivations
