obs_ID,study_ID,year,es,var,h95,l95,meta_ID
obs001,Wu_etal_2015,2015,-0.4,0.170788213,-1.21,0.41,ma15_01
obs002,Wu_etal_2015,2015,-1.36,0.213198928,-2.27,-0.46,ma15_01
obs003,Wu_etal_2019,2019,0.27,0.201582674,-1.15,0.61,ma15_01
obs004,Xu_etal_2021,2021,-0.9,0.123932736,-1.59,-0.21,ma15_01
obs005,Xu_etal_2021,2021,-0.95,0.103316327,-1.58,-0.32,ma15_01
