obs_ID,study_ID,year,es,var,meta_ID,research_aim
obs_178,17692317,2007,-0.076165524,0.300193373,ma31_01,human
obs_179,17692317,2007,-1.449956422,0.370079121,ma31_01,human
obs_180,17692317,2007,-0.15405732,0.300791122,ma31_01,human
obs_181,17692317,2007,-0.432998764,0.306249598,ma31_01,human
obs_182,17697719,2007,-0.601962354,0.090891917,ma31_01,human
obs_183,17697719,2007,-0.649663207,0.107647101,ma31_01,human
obs_184,17697719,2007,-0.600826862,0.261281029,ma31_01,human
obs_185,17716698,2007,-0.273263675,0.252333532,ma31_01,human
obs_186,17716698,2007,-1.495390108,0.319880987,ma31_01,human
obs_187,17854917,2008,0.72591939,0.152267124,ma31_01,human
obs_188,17854917,2008,2.431127313,0.224495377,ma31_01,human
obs_189,17854917,2008,0.343393604,0.147939033,ma31_01,human
obs_190,17854917,2008,1.44182236,0.201833445,ma31_01,human
obs_191,17931714,2008,0.40288488,0.204057906,ma31_01,human
obs_192,17931714,2008,0.360493299,0.203248885,ma31_01,human
obs_193,18308845,2008,-0.409120433,0.163604001,ma31_01,human
obs_194,18308845,2008,-0.165085737,0.129606236,ma31_01,human
obs_195,18329744,2008,0.850744608,0.311563085,ma31_01,human
obs_196,18329744,2008,0.26508456,0.288223922,ma31_01,human
obs_197,18367262,2008,-1.182492053,0.234957186,ma31_01,human
obs_198,18367262,2008,1.47590214,0.254457178,ma31_01,human
obs_199,18367262,2008,-6.366331081,1.213254286,ma31_01,human
obs_200,18367262,2008,-6.010670127,1.103203884,ma31_01,human
obs_201,18367262,2008,1.853191402,0.285857959,ma31_01,human
obs_202,18367262,2008,0.163634512,0.200669406,ma31_01,human
obs_203,18398848,2008,-0.169369653,0.211866008,ma31_01,human
obs_204,18398848,2008,0.077522593,0.211269262,ma31_01,human
obs_205,18398848,2008,0.782202696,0.269120033,ma31_01,human
obs_206,18468700,2008,0.283224832,0.240100646,ma31_01,human
obs_207,18524909,2008,1.573862804,0.404794737,ma31_01,human
obs_208,18524909,2008,-0.136416911,0.292331294,ma31_01,human
obs_209,18554808,2008,0.706662568,0.2124843,ma31_01,human
obs_210,18554808,2008,-0.400580592,0.20401162,ma31_01,human
obs_211,18554808,2008,1.526912223,0.21523877,ma31_01,human
obs_212,18566122,2008,-0.423344874,0.180819183,ma31_01,human
obs_213,18566122,2008,1.574079637,0.380156906,ma31_01,human
obs_214,18566122,2008,-0.281592458,0.178646866,ma31_01,human
obs_215,18948184,2009,2.427651047,0.317276279,ma31_01,human
obs_216,18948184,2009,1.131706226,0.232018975,ma31_01,human
obs_217,18948184,2009,1.519588774,0.257728751,ma31_01,human
obs_218,18948184,2009,0.188208286,0.200885559,ma31_01,human
obs_219,19051121,2009,0.186947697,0.202893938,ma31_01,human
obs_220,19111592,2009,1.477874509,0.318253533,ma31_01,human
obs_221,19111592,2009,0.706700704,0.144070371,ma31_01,human
obs_222,19283592,2009,1.027888476,0.263114976,ma31_01,human
obs_223,19283592,2009,-0.590835717,0.199220682,ma31_01,human
obs_224,19292996,2009,0.782932862,0.197264785,ma31_01,human
obs_225,19292996,2009,-0.309980623,0.185517151,ma31_01,human
obs_226,19309038,2009,1.756472884,0.277129925,ma31_01,human
obs_227,19398029,2009,-0.649214899,0.161951538,ma31_01,human
obs_228,19398029,2009,0.776111565,0.165429792,ma31_01,human
obs_229,19398029,2009,-20.63251861,8.340400462,ma31_01,human
obs_230,19505767,2009,-1.677898073,0.270383549,ma31_01,human
obs_231,19682501,2009,0.010135956,0.097620301,ma31_01,human
obs_232,19821018,2009,0.331483323,0.170121359,ma31_01,human
obs_233,19821018,2009,0.010928588,0.188036902,ma31_01,human
obs_234,19821018,2009,0.842779756,0.18262962,ma31_01,human
obs_235,19922351,2009,-0.017682148,0.222230907,ma31_01,human
obs_236,19922351,2009,-0.051841496,0.25405224,ma31_01,human
obs_237,19922359,2009,0.326911966,0.506679465,ma31_01,human
obs_238,19939573,2010,-1.649337195,0.2826983,ma31_01,human
obs_239,19939573,2010,-0.013959891,0.211116239,ma31_01,human
obs_240,19939573,2010,-1.364397631,0.260100082,ma31_01,human
obs_241,19939573,2010,-0.118844029,0.211482793,ma31_01,human
obs_242,20214436,2010,1.075277691,0.457811106,ma31_01,human
obs_243,20463226,2010,0.551380554,0.207600513,ma31_01,human
obs_244,20463226,2010,0.92171369,0.221238903,ma31_01,human
obs_245,20463226,2010,1.322155488,0.243702378,ma31_01,human
obs_246,20463226,2010,-0.246022912,0.201513182,ma31_01,human
obs_247,20488211,2010,-0.220875335,0.201219648,ma31_01,human
obs_248,20488211,2010,0.09290535,0.200215785,ma31_01,human
obs_249,20488211,2010,-0.359785221,0.169363446,ma31_01,human
obs_250,20488211,2010,0.235720687,0.167824255,ma31_01,human
obs_251,20488211,2010,-0.05287991,0.166724923,ma31_01,human
obs_252,20488211,2010,0.375235946,0.169600042,ma31_01,human
obs_253,20589492,2011,0.395234231,0.203905252,ma31_01,human
obs_254,20589492,2011,0.809959738,0.216400869,ma31_01,human
obs_255,20589492,2011,0.169444773,0.200717788,ma31_01,human
