"Table S1. Characteristics of the 28 meta-analytical papers included in the quantitative reanalysis.
Species, cognitive domain, task and manipulation are taken from the systematic map that supplied the corpus. Cognitive domain follows the categories assigned in that map; a paper spanning more than one category is listed under each.
'Life stage' and 'sex' record whether the meta-analysis reported the variable and whether it was also included as a moderator.
The last four columns describe what each paper contributes to the present analysis: the number of meta-analysis models, effect-size estimates and study clusters, and the number of models whose bias-corrected mean had the opposite sign to the uncorrected mean.
Task is recorded as 'unclear' where the systematic map could not identify a specific paradigm, and species were not recorded for one paper.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
id,title,author,journal,doi,year,species,cognitive domain,task,manipulation,life stage,sex,effect size metric,N of models,N of effect sizes,N of study clusters,N of sign reversals
MA18,Natural products improve healthspan in aged mice and rats: A systematic review and meta-analysis.,"Musillo C, Borgi M, Saul N, Moeller S, Luyten W, Berry A, Cirulli F.",Neuroscience & Biobehavioral Reviews,https://doi.org/10.1016/j.neubiorev.2020.12.001,2021,Rattus norvegicus; Mus musculus,Learning; Memory,Morris water maze; Passive avoidance; Y-maze; Y-maze with electric shock,Drug,reported; analysed,reported; analysed,SMD,1,23,23,0
MA20,Sex-dependent discrimination learning in lizards: A meta-analysis,"Szabo B, Whiting MJ, Noble DW. Sex-dependent discrimination learning in lizards: a meta-analysis. Behavioural processes. ",Behavioural processes,https://doi.org/10.1016/j.beproc.2019.04.002,2019,Anolis evermanni; Bassiana duperreyi; and 8 other species,Learning,Discrimination learning; Reversal learning,Unclear,reported; analysed,reported; analysed,lnRR,1,29,8,0
MA21,The link between maternal obesity and offspring neurobehavior: A systematic review of animal experiments. ,"Menting MD, van de Beek C, Mintjens S, Wever KE, Korosi A, Ozanne SE, Limpens J, Roseboom TJ, Hooijmans C, Painter RC.",Neuroscience & biobehavioral reviews,https://doi.org/10.1016/j.neubiorev.2018.12.023,2019,Rattus norvegicus; Mus musculus,Memory,Morris Water Maze; Barnes Maze; Y-maze; Novel Object Recognition; Visual Discrimination and Serial Learning; Attentional Set Shifting Task,Unclear,reported; analysed,reported; analysed,SMD,1,11,6,0
MA22,The relative benefits of environmental enrichment on learning and memory are greater when stressed: A meta-analysis of interactions in rodents.,"Macartney EL, Lagisz M, Nakagawa S.",Neuroscience & Biobehavioral Reviews,https://doi.org/10.1016/j.neubiorev.2022.104554,2022,Rattus norvegicus; Mus musculus,Learning; Memory,Morris water maze; Aversive conditioning to ethanol; T maze; Novel object; Y-maze novel arm; Barnes maze; Novel object recognition; 8 arm radial maze; Temporal object recognition; Morris water maze - cognitive flexibility; Inhibitory avoidance; context-dependent conditioning; Renewal of conditioned fear; Open field habituation; Social recognition; Contextual fear conditioning; Radial arm maze; 5-choice task; Pre-pulse inhibition; Rotor rod test,Environmental; Others,reported; analysed,reported; not analysed,lnRR,3,276,90,0
MA23,Impact of chronic stress protocols in learning and memory in rodents: systematic review and meta-analysis.,"Moreira PS, Almeida PR, Leite-Almeida H, Sousa N, Costa P.",PLoS One,https://doi.org/10.1371/journal.pone.0163245,2016,Mus musculus; Rattus norvegicus,Learning; Memory,Morris water maize; Novel object recognition; Radial arm maze; Y-Maze; Hebb-Williams maze; Labyrinth food finding test; T-maze,Environmental; Others,reported; analysed,reported; not analysed,SMD,1,24,22,1
MA24,From whom do animals learn? A meta-analysis on model-based social learning.,"Camacho-Alpízar A, Guillette LM.",Psychonomic Bulletin & Review,https://doi.org/10.3758/s13423-022-02236-4,2023,Drosophila melanogaster; Pan troglodytes and 31 other species,Decision-making; Learning,unclear,Unclear,reported; analysed,reported; analysed,SMD,1,139,54,0
MA25,Meta-analysis of sex differences in rodent models of learning and memory: a review of behavioral and biological data.,Jonasson Z.,Neuroscience & Biobehavioral Reviews,https://doi.org/10.1016/j.neubiorev.2004.10.006,2005,Rattus norvegicus; Mus musculus,Learning; Memory,water maze; radial maze,Unclear,reported; analysed,reported; analysed,SMD,1,43,22,1
MA26,"Optimism, pessimism and judgement bias in animals: A systematic review and meta-analysis.","Lagisz M, Zidar J, Nakagawa S, Neville V, Sorato E, Paul ES, Bateson M, Mendl M, Løvlie H.",Neuroscience & Biobehavioral Reviews,https://doi.org/10.1016/j.neubiorev.2020.07.012,2020,Apis mellifera carnica; Bombus terrestris audax and 20 other species,Decision-making,go/no-go; go/go active task,Environmental; Nutrient,reported; analysed,reported; analysed,SMD,1,459,71,1
MA28,"The effect of high fat, high sugar, and combined high fat-high sugar diets on spatial learning and memory in rodents: A meta-analysis","Abbott KN, Arnott CK, Westbrook RF, Tran DM.",Neuroscience & Biobehavioral Reviews,https://doi.org/10.1016/j.neubiorev.2019.08.010,2019,Rattus norvegicus; Mus musculus,Learning; Memory,Morris water maze; Radial arm maze; Radial arm water maze; Place recognition; Spontaneous Alternation,Not applicable,reported; not analysed,reported; not analysed,SMD,2,168,83,2
MA31,The behavioral phenotype of early life adversity: A 3-level meta-analysis of rodent studies.,"Bonapersona V, Kentrop J, Van Lissa CJ, Van Der Veen R, Joëls M, Sarabdjitsingh RA.",Neuroscience & Biobehavioral Reviews,https://doi.org/10.1016/j.neubiorev.2019.04.021,2019,Mus musculus; Rattus norvegicus,Memory,Defensive withdrawal; Elevated zero maze; Elevated plus maze; Fear conditioning; Forced swim test; Light/Dark box; Novelty-induced suppression of feeding/drinking; Open field; Tail suspension test; Morris water maze; Shuttle box; Social fear conditioning; Object in context; Object in location; Object recognition; Social recognition; Temporal order task; Y maze; Resident intruder test; Social interaction; Social open field; Social play; Social preference,Environmental,reported; analysed,reported; analysed,SMD,1,734,212,0
MA32,Extinction in multiple contexts reduces the return of extinguished responses: A multilevel meta-analysis.,"Bustamante J, Soto M, Miguez G, Quezada-Scholz VE, Angulo R, Laborda MA.",Learning & Behavior,https://doi.org/10.3758/s13420-023-00609-w,2024,Mus musculus; Rattus norvegicus,Learning,Fear conditioning; Conditioned taste aversion; Predictive learning; Alcohol reactivity; Conditioned disgust; Conditioned ethanol tolerance; Instrumental conditioning,Unclear,not reported; not analysed,reported; not analysed,SMD,1,13,7,0
MA34,How general is cognitive ability in non-human animals? A meta-analytical and multi-level reanalysis approach.,"Poirier MA, Kozlovsky DY, Morand-Ferron J, Careau V.",Proceedings of the Royal Society B: Biological Sciences.,https://doi.org/10.1098/rspb.2020.1853,2020,Mus musculus; Rattus norvegicus and 9 other species,Other,unclear,Unclear,not reported; not analysed,reported; not analysed,Zr,1,555,23,0
MA39,Deficits in hippocampal-dependent memory across different rodent models of early life stress: systematic review and meta-analysis.,"Rocha M, Wang D, Avila-Quintero V, Bloch MH, Kaffman A.",Translational psychiatry,https://doi.org/10.1038/s41398-021-01352-4,2021,Rattus norvegicus; Mus musculus,Learning; Memory,Morris water maze; Novel object recognition; Contextual fear conditioning,Environmental,reported; not analysed,reported; analysed,SMD,2,52,32,1
MA41,Meta‐analyses reveal support for the Social Intelligence Hypothesis.,"Speechley EM, Ashton BJ, Foo YZ, Simmons LW, Ridley AR.",Biological Reviews,https://doi.org/10.1111/brv.13103,2024,Bos taurus; Callithrix jacchus and 17 other species,Other,unclear,Unclear,not reported; not analysed,not reported; not analysed,Zr,4,527,107,3
MA43,The evolution of coordination: a phylogenetic meta-analysis and systematic review.,"Keeble L, Wallenberg JC, Price EE.",Royal Society Open Science, https://doi.org/10.1098/rsos.201728,2022,Corvus frugilegus; Nestor notabilis and 10 other species,Other,string-pull task,Unclear,not reported; not analysed,not reported; not analysed,Zr,1,13,8,0
MA45,Signs of a Flynn effect in rodents? Secular differentiation of the manifold of general cognitive ability in laboratory mice (Mus musculus) and Norwegian rats (Rattus norvegicus) over a century—Results from two cross-temporal meta-analyses,"Woodley of Menie MA, Penaherrera-Aguirre M, Sarraf MA.",Intelligence,https://doi.org/10.1016/j.intell.2022.101700,2022,Rattus norvegicus; Mus musculus,Other,unclear,Not applicable,reported; analysed,reported; analysed,Zr,2,39,35,0
MA47,A meta-analysis of interindividual differences in innovation. ,"Amici F, Widdig A, Lehmann J, Majolo B.",Animal Behaviour,https://doi.org/10.1016/j.anbehav.2019.07.008,2019,Poecilia reticulata; Acridotheres tristis and 41 other species,Other,unclear,Unclear,not reported; analysed,not reported; not analysed,Zr,2,103,51,0
