part,level,assumed_effect,weighting,metric,n_unit,summary_estimate,ci,n_constrained_limits,raw_median_iqr,offset_note
A. Reported results,Primary-study level,Yang 2024 bias-robust (FE + VCV),Meta-analysis as a random effect,Type M error,5740,3.1661,"[2.4365, 4.1141]",0,"3.9073 [2.3821, 5.8329]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (FE + VCV),Study cluster as a random effect,Type S error,5740,0.0484,"[0.0451, 0.0518]",0,"0.0524 [0.0071, 0.1292]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,5740,0.0321,"[0.0299, 0.0345]",0,"0.0524 [0.0071, 0.1292]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (FE + VCV),Meta-analysis as a random effect,Type S error,5740,0.0324,"[0.0199, 0.0485]",0,"0.0524 [0.0071, 0.1292]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (UWLS),Study cluster as a random effect,Statistical power,5740,0.1209,"[0.1157, 0.1264]",0,"0.0741 [0.0562, 0.1348]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,5740,0.1784,"[0.1738, 0.1833]",0,"0.0741 [0.0562, 0.1348]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (UWLS),Meta-analysis as a random effect,Statistical power,5740,0.1779,"[0.1358, 0.2331]",0,"0.0741 [0.0562, 0.1348]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (UWLS),Study cluster as a random effect,Type M error,5740,4.5568,"[4.3456, 4.7783]",0,"5.2377 [2.9120, 10.1696]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,5740,3.376,"[3.2547, 3.5017]",0,"5.2377 [2.9120, 10.1696]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (UWLS),Meta-analysis as a random effect,Type M error,5740,3.3925,"[2.6090, 4.4115]",0,"5.2377 [2.9120, 10.1696]",
A. Reported results,Primary-study level,Yang 2024 bias-robust (UWLS),Study cluster as a random effect,Type S error,5740,0.0644,"[0.0600, 0.0690]",0,"0.1060 [0.0187, 0.2531]",
