obs_ID,study_ID,year,es,var,meta_ID,research_aim,note,note2
obs_001,Boitard_etal_2014,2014,-0.571,0.151,ma28_02,human,Morris water maze,overlap
obs_002,Boitard_etal_2014,2014,-0.19,0.146,ma28_02,human,Morris water maze,overlap
obs_003,Che_etal_2018,2018,-1.014,0.256,ma28_02,human,Morris water maze,overlap
obs_004,Denver_etal_2018,2018,-0.197,0.156,ma28_02,human,Morris water maze,overlap
obs_005,Denver_etal_2018,2018,0.197,0.156,ma28_02,human,Morris water maze,overlap
obs_006,Denver_etal_2018,2018,0.197,0.156,ma28_02,human,Morris water maze,overlap
obs_007,Gergerlioglu_etal_2016,2016,-1.957,0.343,ma28_02,human,Morris water maze,overlap
obs_008,Gergerlioglu_etal_2016,2016,-0.236,0.225,ma28_02,human,Morris water maze,overlap
obs_009,Jamshed_etal_2014,2014,-1.529,0.334,ma28_02,human,Morris water maze,overlap
obs_010,Jurdak_etal_2008,2008,-0.037,0.183,ma28_02,human,Morris water maze,overlap
obs_011,Jurdak_etal_2008,2008,-1.106,0.214,ma28_02,human,Morris water maze,overlap
obs_012,Jurdak_etal_2008,2008,-0.201,0.184,ma28_02,human,Morris water maze,overlap
obs_013,Jurdak_etal_2008,2008,0.057,0.184,ma28_02,human,Morris water maze,overlap
obs_014,Kendig_etal_2013,2013,-0.746,0.103,ma28_02,human,Morris water maze,overlap
obs_015,Kendig_etal_2013,2013,-0.521,0.099,ma28_02,human,Morris water maze,overlap
obs_016,Liang_etal_2015,2015,-1.014,0.256,ma28_02,human,Morris water maze,overlap
obs_017,Magnusson_etal_2015,2015,-0.763,0.308,ma28_02,human,Morris water maze,overlap
obs_018,Magnusson_etal_2015,2015,-0.723,0.306,ma28_02,human,Morris water maze,overlap
obs_019,Magnusson_etal_2015,2015,0.486,0.294,ma28_02,human,Morris water maze,overlap
obs_020,Magnusson_etal_2015,2015,0.515,0.295,ma28_02,human,Morris water maze,overlap
obs_021,Magnusson_etal_2015,2015,-1.24,0.348,ma28_02,human,Morris water maze,overlap
obs_022,Magnusson_etal_2015,2015,0.048,0.284,ma28_02,human,Morris water maze,overlap
obs_023,Magnusson_etal_2015,2015,0.748,0.307,ma28_02,human,Morris water maze,not overlap
obs_024,Magnusson_etal_2015,2015,0.758,0.308,ma28_02,human,Morris water maze,overlap
obs_025,Magnusson_etal_2015,2015,-1.759,0.413,ma28_02,human,Morris water maze,overlap
obs_026,Magnusson_etal_2015,2015,-1.562,0.386,ma28_02,human,Morris water maze,overlap
obs_027,Mirzaei_etal_2018,2018,-1.68,0.254,ma28_02,human,Morris water maze,overlap
obs_028,Molteni_etal_2004,2004,-1.187,0.343,ma28_02,human,Morris water maze,overlap
