obs_ID,study_ID,year,ntot,es,var,meta_ID,research_aim
obs_001,Agee et al. 2019,2019,18,-0.87,0.25,ma24_01,animal
obs_002,Agee et al. 2019,2019,44,0.92,0.1,ma24_01,animal
obs_003,Baciadonna et al. 2013,2013,28,-0.19,0.11,ma24_01,animal
obs_004,Baciadonna et al. 2013,2013,56,0.22,0.11,ma24_01,animal
obs_005,Benskin et al. 2002,2002,7,-0.22,0.59,ma24_01,animal
obs_006,Benskin et al. 2002,2002,7,-1.5,1.22,ma24_01,animal
obs_007,Benskin et al. 2002,2002,16,1.93,0.72,ma24_01,animal
obs_008,Cadieu and Cadieu 2004,2004,19,0.29,0.21,ma24_01,animal
obs_009,Cadieu and Cadieu 2004,2004,13,0.39,0.32,ma24_01,animal
obs_010,Cadieu and Cadieu 2004,2004,15,0.69,0.29,ma24_01,animal
obs_011,Cadieu and Cadieu 2004,2004,17,-0.07,0.24,ma24_01,animal
obs_012,Chesler 1969,1969,12,3.58,0.87,ma24_01,animal
obs_013,Choleris et al. 1997,1997,25,1.49,0.2,ma24_01,animal
obs_014,Choleris et al. 1997,1997,27,-1.38,0.18,ma24_01,animal
obs_015,Choleris et al. 1997,1997,25,2.59,0.29,ma24_01,animal
obs_016,Choleris et al. 1997,1997,27,1.35,0.18,ma24_01,animal
obs_017,Choleris et al. 1997,1997,28,0.92,0.16,ma24_01,animal
obs_018,Choleris et al. 1997,1997,28,-0.62,0.15,ma24_01,animal
obs_019,Choleris et al. 1997,1997,28,0.59,0.15,ma24_01,animal
obs_020,Choleris et al. 1997,1997,28,0.09,0.15,ma24_01,animal
obs_021,Damas-Moreira et al. 2018,2018,21,0.32,0.19,ma24_01,animal
obs_022,Duffy et al. 2009,2009,40,0.44,0.06,ma24_01,animal
obs_023,Figueroa et al. 2013,2013,32,1.12,0.14,ma24_01,animal
obs_024,Forsman and SeppÃ¤nen 2011,2011,17,1.05,0.44,ma24_01,animal
obs_025,Galef et al. 1998,1998,14,-0.25,0.29,ma24_01,animal
obs_026,Galef et al. 1998,1998,13,0.22,0.31,ma24_01,animal
obs_027,Galef et al. 1998,1998,11,0.68,0.39,ma24_01,animal
obs_028,Galef et al. 1998,1998,11,-0.13,0.37,ma24_01,animal
obs_029,Galef et al. 1984,1984,16,-0.29,0.25,ma24_01,animal
obs_030,Galef et al. 1984,1984,16,0.18,0.25,ma24_01,animal
obs_031,Galef and Whiskin 2008,2008,33,-0.16,0.12,ma24_01,animal
obs_032,Galef and Whiskin 2008,2008,16,-0.94,0.09,ma24_01,animal
obs_033,Galef and Whiskin 2008,2008,30,0.15,0.13,ma24_01,animal
obs_034,Galef and Whiskin 2008,2008,16,-0.88,0.09,ma24_01,animal
obs_035,Galef and Whiskin 2004,2004,21,0.18,0.2,ma24_01,animal
obs_036,Galef and Whiskin 2004,2004,21,-0.26,0.2,ma24_01,animal
obs_037,Galef and Whiskin 2004,2004,18,-0.37,0.07,ma24_01,animal
obs_038,Galef and Whiskin 2004,2004,18,0.08,0.06,ma24_01,animal
obs_039,Brotcorne et al. 2020,2020,58,0.02,0.09,ma24_01,animal
obs_040,Brotcorne et al. 2020,2020,55,-0.17,0.09,ma24_01,animal
obs_041,Forestier et al. 2018,2018,13,0.93,0.34,ma24_01,animal
obs_042,Forestier et al. 2018,2018,15,0.53,0.28,ma24_01,animal
obs_043,Forestier et al. 2018,2018,15,0.21,0.27,ma24_01,animal
obs_044,Forestier et al. 2018,2018,16,0.26,0.25,ma24_01,animal
obs_045,Guillette and Healy 2014,2014,14,-0.17,0.29,ma24_01,animal
obs_046,Guillette and Healy 2014,2014,14,0.21,0.29,ma24_01,animal
obs_047,Guillette et al 2014,2014,15,0.21,0.27,ma24_01,animal
obs_048,Guillette et al 2014,2014,16,0.79,0.27,ma24_01,animal
obs_049,Guillette et al 2016,2016,18,1.31,0.27,ma24_01,animal
obs_050,Hämäläinen et al. 2020,2020,24,0.24,0.17,ma24_01,animal
obs_051,Hämäläinen et al. 2020,2020,24,0.41,0.17,ma24_01,animal
obs_052,Hämäläinen et al. 2020,2020,24,0.23,0.17,ma24_01,animal
obs_053,Hämäläinen et al. 2020,2020,24,0.1,0.17,ma24_01,animal
obs_054,Hatch and Lefebvre 1997,1997,22,0.1,0.11,ma24_01,animal
obs_055,Hatch and Lefebvre 1997,1997,11,-0.1,0.22,ma24_01,animal
obs_056,Horner et al. 2010,2010,113,0.49,0.02,ma24_01,animal
obs_057,Jaakkonen et al. 2015,2015,117,0.07,0.02,ma24_01,animal
obs_058,Jones et al. 2014,2014,32,0.61,0.13,ma24_01,animal
obs_059,Katz and Lachlan 2003,2003,23,0.24,0.11,ma24_01,animal
obs_060,Katz and Lachlan 2003,2003,23,-0.69,0.13,ma24_01,animal
obs_061,Kavaliers et al. 2005,2005,20,0.55,0.21,ma24_01,animal
obs_062,Kavaliers et al. 2005,2005,20,1.24,0.24,ma24_01,animal
obs_063,Kavaliers et al. 2005,2005,20,2.1,0.31,ma24_01,animal
obs_064,Kavaliers et al. 2005,2005,20,1.56,0.26,ma24_01,animal
obs_065,Kavaliers et al. 2005,2005,20,0.97,0.22,ma24_01,animal
obs_066,Kavaliers et al. 2005,2005,20,0.39,0.2,ma24_01,animal
obs_067,Loukola et al. 2012,2012,48,0.17,0.1,ma24_01,animal
obs_068,Griesser and Suzuki 2016,2016,26,1.59,0.43,ma24_01,animal
obs_069,Griesser and Suzuki 2016,2016,32,1.06,0.21,ma24_01,animal
obs_070,Lupfer et al. 2003,2003,23,1.02,0.25,ma24_01,animal
obs_071,May and Reboreda 2005,2005,20,-0.16,0.21,ma24_01,animal
obs_072,Mersmann et al. 2011,2011,30,0.63,0.18,ma24_01,animal
obs_073,Jeon et al. 2010,2010,47,0.96,0.1,ma24_01,animal
obs_074,Jeon et al. 2010,2010,47,0.76,0.09,ma24_01,animal
obs_075,Jeon et al. 2010,2010,20,0.13,0.2,ma24_01,animal
obs_076,Jeon et al. 2010,2010,20,-0.03,0.2,ma24_01,animal
obs_077,Jeon et al. 2010,2010,15,0.72,0.3,ma24_01,animal
obs_078,Jeon et al. 2010,2010,15,0.42,0.28,ma24_01,animal
obs_079,Jeon et al. 2010,2010,19,1.26,0.27,ma24_01,animal
obs_080,Jeon et al. 2010,2010,19,1.04,0.26,ma24_01,animal
obs_081,Jeon et al. 2010,2010,16,1.56,0.33,ma24_01,animal
obs_082,Jeon et al. 2010,2010,16,1.03,0.29,ma24_01,animal
obs_083,Munch et al. 2018,2018,40,-0.17,0.14,ma24_01,animal
obs_084,Munch et al. 2018,2018,26,-0.37,0.16,ma24_01,animal
obs_085,Munch et al. 2018,2018,24,-0.69,0.25,ma24_01,animal
obs_086,Munch et al. 2018,2018,16,0.62,0.3,ma24_01,animal
obs_087,Nicol and Pope 1999,1999,54,0.4,0.08,ma24_01,animal
obs_088,Nicol and Pope 1999,1999,24,-0.5,0.17,ma24_01,animal
obs_089,Nicol and Pope 1994,1994,42,0.52,0.1,ma24_01,animal
obs_090,Pongrcz et al. 2004,2004,16,0.66,0.27,ma24_01,animal
obs_091,Pongrácz et al. 2008,2008,22,0.39,0.19,ma24_01,animal
obs_092,Pongrácz et al. 2008,2008,25,1.64,0.21,ma24_01,animal
