obs_ID,study_ID,year,es,var,h95,l95,meta_ID
obs001,Han_etal_2014,2014,-0.91,0.185866566,-1.75,-0.06,ma15_02
obs002,Han_etal_2014,2014,-0.67,0.179326322,-1.5,0.16,ma15_02
obs003,Han_etal_2014,2014,-1.34,0.213198928,-2.25,-0.44,ma15_02
obs004,Han_etal_2014,2014,-1.8,0.247455487,-2.78,-0.83,ma15_02
obs005,Wu_etal_2015,2015,-0.61,0.175031237,-1.43,0.21,ma15_02
obs006,Wu_etal_2015,2015,-1.49,0.222726208,-2.42,-0.57,ma15_02
obs007,Wu_etal_2019,2019,-0.76,0.217936537,-1.68,0.15,ma15_02
obs008,Xu_etal_2021,2021,-1.64,0.152338869,-2.41,-0.88,ma15_02
obs009,Xu_etal_2021,2021,-1.48,0.118602926,-2.15,-0.8,ma15_02
