obs_ID,study_ID,year,es,var,study_ID_org,meta_ID
obs_001,Rehan et al_2015,2015,0.143506923,0.047619048,study74,ma41_04
obs_002,Rehan et al_2018,2015,0.037591146,0.047619048,study74,ma41_04
obs_003,Kulahci et al_2018,2018,0.683372857,0.071428571,study41,ma41_04
obs_004,Kulahci et al_2012,2018,0.607629458,0.055555556,study41,ma41_04
obs_005,Arsznov & Sakai_2012,2012,NA,0.090909091,study03,ma41_04
obs_006,Arsznov & Sakai_2012,2012,NA,0.090909091,study03,ma41_04
obs_007,Arsznov & Sakai_2012,2012,NA,0.090909091,study03,ma41_04
obs_008,Arsznov & Sakai_2012,2012,NA,0.090909091,study03,ma41_04
obs_009,Arsznov & Sakai_2012,2012,NA,0.090909091,study03,ma41_04
obs_010,Arsznov & Sakai_2012,2012,NA,0.090909091,study03,ma41_04
obs_011,Arsznov & Sakai_2012,2012,NA,0.090909091,study03,ma41_04
obs_012,Arsznov & Sakai_2009,2012,NA,0.090909091,study03,ma41_04
obs_013,Liker & Bókony_2009,2009,NA,0.090909091,study50,ma41_04
obs_014,Liker & Bókony_2010,2009,NA,0.090909091,study50,ma41_04
obs_015,Ott & Rogers_2010,2010,NA,0.0625,study68,ma41_04
obs_016,Ott & Rogers_2010,2010,NA,0.0625,study68,ma41_04
obs_017,Ott & Rogers_2010,2010,NA,0.0625,study68,ma41_04
obs_018,Ott & Rogers_2010,2010,NA,0.0625,study68,ma41_04
obs_019,Ott & Rogers_2010,2010,NA,0.0625,study68,ma41_04
obs_020,Ott & Rogers_2010,2010,NA,0.0625,study68,ma41_04
obs_021,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_022,Ott & Rogers_2010,2010,NA,0.0625,study68,ma41_04
obs_023,Ott & Rogers_2010,2010,NA,0.0625,study68,ma41_04
obs_024,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_025,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_026,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_027,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_028,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_029,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_030,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_031,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_032,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_033,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_034,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_035,Ott & Rogers_2010,2010,NA,0.066666667,study68,ma41_04
obs_036,Smith et al_2010,2010,NA,0.055555556,study87,ma41_04
obs_037,Smith et al_2010,2010,NA,0.055555556,study87,ma41_04
obs_038,Smith et al_2010,2010,NA,0.055555556,study87,ma41_04
obs_039,Smith et al_2010,2010,NA,0.055555556,study87,ma41_04
obs_040,Smith et al_2010,2010,NA,0.055555556,study87,ma41_04
obs_041,Smith et al_2010,2010,NA,0.055555556,study87,ma41_04
obs_042,Smith et al_2010,2010,NA,0.055555556,study87,ma41_04
obs_043,Smith et al_2010,2010,NA,0.055555556,study87,ma41_04
obs_044,Smith et al_2010,2010,NA,0.055555556,study87,ma41_04
obs_045,Smith et al_2010,2010,NA,0.055555556,study87,ma41_04
obs_046,Smith et al_2019,2010,NA,0.055555556,study87,ma41_04
obs_047,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_048,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_049,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_050,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_051,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_052,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_053,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_054,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_055,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_056,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_057,Triki et al_2019,2019,NA,0.1,study114,ma41_04
obs_058,Triki et al_2019,2019,NA,0.166666667,study114,ma41_04
obs_059,Triki et al_2019,2019,NA,0.166666667,study114,ma41_04
obs_060,Triki et al_2019,2019,NA,0.166666667,study114,ma41_04
obs_061,Triki et al_2015,2019,NA,0.166666667,study114,ma41_04
obs_062,Amador-Vargas et al_2015,2015,-0.074562953,0.038461538,study01,ma41_04
obs_063,Amador-Vargas et al_2015,2015,0.371629638,0.032258065,study01,ma41_04
obs_064,Amador-Vargas et al_2015,2015,0.400973788,0.038461538,study01,ma41_04
obs_065,Amador-Vargas et al_2015,2015,-0.508403862,0.032258065,study01,ma41_04
obs_066,Amador-Vargas et al_2015,2015,0.495883707,0.038461538,study01,ma41_04
obs_067,Amador-Vargas et al_2015,2015,-0.104704269,0.032258065,study01,ma41_04
obs_068,Amador-Vargas et al_2015,2015,0.183640228,0.038461538,study01,ma41_04
obs_069,Amador-Vargas et al_2015,2015,-0.300414734,0.032258065,study01,ma41_04
obs_070,Amador-Vargas et al_2015,2015,-0.112868824,0.038461538,study01,ma41_04
obs_071,Amador-Vargas et al_2015,2015,-0.105959564,0.032258065,study01,ma41_04
obs_072,Amador-Vargas et al_2015,2015,0.266430525,0.038461538,study01,ma41_04
obs_073,Amador-Vargas et al_2015,2015,0.110944763,0.032258065,study01,ma41_04
obs_074,Amador-Vargas et al_2015,2015,0.205782562,0.038461538,study01,ma41_04
obs_075,Amador-Vargas et al_2015,2015,0.232595193,0.032258065,study01,ma41_04
obs_076,Amador-Vargas et al_2015,2015,0.377308948,0.038461538,study01,ma41_04
obs_077,Amador-Vargas et al_2015,2015,0.091401415,0.032258065,study01,ma41_04
obs_078,Amador-Vargas et al_2015,2015,0.033680341,0.038461538,study01,ma41_04
obs_079,Amador-Vargas et al_2015,2015,0.192078112,0.032258065,study01,ma41_04
obs_080,Amador-Vargas et al_2015,2015,0.159208449,0.038461538,study01,ma41_04
obs_081,Amador-Vargas et al_2020,2015,0.003047671,0.032258065,study01,ma41_04
obs_082,Ash et al_2018,2020,0.996215082,0.083333333,study06,ma41_04
obs_083,Ashton et al_2018,2018,0.430830816,0.018867925,study07,ma41_04
obs_084,Ashton et al_2018,2018,0.754463217,0.022222222,study07,ma41_04
obs_085,Ashton et al_2018,2018,0.576025525,0.022222222,study07,ma41_04
obs_086,Ashton et al_2020,2018,0.721102577,0.02173913,study07,ma41_04
obs_087,Berhane et al_2016,2020,-0.625980504,0.076923077,study13,ma41_04
obs_088,Kulahci et al_2016,2016,0.906607552,0.142857143,study42,ma41_04
obs_089,Kulahci et al_2016,2016,0.911183893,0.142857143,study42,ma41_04
obs_090,Kulahci et al_2016,2016,0.073130089,0.142857143,study42,ma41_04
obs_091,Kulahci et al_2016,2016,0.537377149,0.142857143,study42,ma41_04
obs_092,Kulahci et al_2016,2016,1.256152812,0.166666667,study42,ma41_04
obs_093,Kulahci et al_2016,2016,1.146826396,0.166666667,study42,ma41_04
obs_094,Kulahci et al_2016,2016,1.146826396,0.166666667,study42,ma41_04
obs_095,Kulahci et al_2016,2016,1.098612289,0.166666667,study42,ma41_04
obs_096,Kulahci et al_2016,2016,0.654960691,0.142857143,study42,ma41_04
obs_097,Kulahci et al_2016,2016,-0.909724507,0.142857143,study42,ma41_04
obs_098,Kulahci et al_2016,2016,-0.030309278,0.142857143,study42,ma41_04
obs_099,Kulahci et al_2016,2016,-0.091252446,0.142857143,study42,ma41_04
obs_100,Kulahci et al_2016,2016,1.256152812,0.166666667,study42,ma41_04
obs_101,Kulahci et al_2016,2016,-0.586259403,0.166666667,study42,ma41_04
obs_102,Kulahci et al_2016,2016,0.746906856,0.166666667,study42,ma41_04
obs_103,Kulahci et al_2016,2016,0.746906856,0.166666667,study42,ma41_04
obs_104,Kulahci et al_2016,2016,0.333876866,0.142857143,study42,ma41_04
obs_105,Kulahci et al_2016,2016,-0.387264981,0.142857143,study42,ma41_04
obs_106,Kulahci et al_2016,2016,-0.215369247,0.142857143,study42,ma41_04
obs_107,Kulahci et al_2016,2016,0.972955075,0.166666667,study42,ma41_04
obs_108,Kulahci et al_2016,2016,0.642648223,0.166666667,study42,ma41_04
obs_109,Kulahci et al_2014,2016,0.50584307,0.166666667,study42,ma41_04
obs_110,Noonan et al_2014,2014,-0.015001125,0.03030303,study65,ma41_04
obs_111,Noonan et al_2014,2014,-0.021003088,0.03030303,study65,ma41_04
